model,split,actual_author,predicted_author,count
nearest_centroid,validation,austen,austen,7
nearest_centroid,validation,austen,dickens,0
nearest_centroid,validation,austen,poe,0
nearest_centroid,validation,austen,shelley,1
nearest_centroid,validation,austen,twain,0
nearest_centroid,validation,austen,wilde,1
nearest_centroid,validation,dickens,austen,1
nearest_centroid,validation,dickens,dickens,8
nearest_centroid,validation,dickens,poe,0
nearest_centroid,validation,dickens,shelley,0
nearest_centroid,validation,dickens,twain,0
nearest_centroid,validation,dickens,wilde,0
nearest_centroid,validation,poe,austen,0
nearest_centroid,validation,poe,dickens,0
nearest_centroid,validation,poe,poe,7
nearest_centroid,validation,poe,shelley,2
nearest_centroid,validation,poe,twain,0
nearest_centroid,validation,poe,wilde,0
nearest_centroid,validation,shelley,austen,0
nearest_centroid,validation,shelley,dickens,0
nearest_centroid,validation,shelley,poe,1
nearest_centroid,validation,shelley,shelley,8
nearest_centroid,validation,shelley,twain,0
nearest_centroid,validation,shelley,wilde,0
nearest_centroid,validation,twain,austen,1
nearest_centroid,validation,twain,dickens,1
nearest_centroid,validation,twain,poe,2
nearest_centroid,validation,twain,shelley,0
nearest_centroid,validation,twain,twain,2
nearest_centroid,validation,twain,wilde,3
nearest_centroid,validation,wilde,austen,0
nearest_centroid,validation,wilde,dickens,3
nearest_centroid,validation,wilde,poe,0
nearest_centroid,validation,wilde,shelley,1
nearest_centroid,validation,wilde,twain,2
nearest_centroid,validation,wilde,wilde,3
nearest_centroid,test,austen,austen,9
nearest_centroid,test,austen,dickens,0
nearest_centroid,test,austen,poe,0
nearest_centroid,test,austen,shelley,0
nearest_centroid,test,austen,twain,0
nearest_centroid,test,austen,wilde,0
nearest_centroid,test,dickens,austen,1
nearest_centroid,test,dickens,dickens,6
nearest_centroid,test,dickens,poe,0
nearest_centroid,test,dickens,shelley,0
nearest_centroid,test,dickens,twain,0
nearest_centroid,test,dickens,wilde,2
nearest_centroid,test,poe,austen,0
nearest_centroid,test,poe,dickens,1
nearest_centroid,test,poe,poe,6
nearest_centroid,test,poe,shelley,2
nearest_centroid,test,poe,twain,0
nearest_centroid,test,poe,wilde,0
nearest_centroid,test,shelley,austen,0
nearest_centroid,test,shelley,dickens,0
nearest_centroid,test,shelley,poe,1
nearest_centroid,test,shelley,shelley,8
nearest_centroid,test,shelley,twain,0
nearest_centroid,test,shelley,wilde,0
nearest_centroid,test,twain,austen,0
nearest_centroid,test,twain,dickens,1
nearest_centroid,test,twain,poe,0
nearest_centroid,test,twain,shelley,0
nearest_centroid,test,twain,twain,7
nearest_centroid,test,twain,wilde,1
nearest_centroid,test,wilde,austen,0
nearest_centroid,test,wilde,dickens,0
nearest_centroid,test,wilde,poe,2
nearest_centroid,test,wilde,shelley,1
nearest_centroid,test,wilde,twain,0
nearest_centroid,test,wilde,wilde,6
diagonal_gaussian_nb,validation,austen,austen,8
diagonal_gaussian_nb,validation,austen,dickens,0
diagonal_gaussian_nb,validation,austen,poe,0
diagonal_gaussian_nb,validation,austen,shelley,1
diagonal_gaussian_nb,validation,austen,twain,0
diagonal_gaussian_nb,validation,austen,wilde,0
