passage_id,condition,candidate_id,canonical_id,alias_id,author_id,author_name,work_id,work_title,gutenberg_ebook_no,selection_rank_within_work,final_index_within_author,candidate_index_within_source,start_word_index,end_word_index,word_count,sentence_count,paragraph_count,start_char,end_char,dialogue_marker_count,dialogue_marker_per_1000w,punctuation_per_1000w,semicolon_per_1000w,dash_per_1000w,apostrophe_per_1000w,mean_sentence_words,long_sentence_ratio,selection_method,text
AUSTEN_EMMA_001,original,AUSTEN_AUTHOR1_WORK2_0010,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,1,1,10,6579,7148,569,27,7,36589,39797,5,8.787,152.9,12.302,5.272,5.272,21.074,0.148148,deterministic_even_spread_30_per_work_after_quality_filters,"She was so busy in admiring those soft blue eyes, in talking and
listening, and forming all these schemes in the in-betweens, that the
evening flew away at a very unusual rate; and the supper-table, which
always closed such parties, and for which she had been used to sit and
watch the due time, was all set out and ready, and moved forwards to
the fire, before she was aware. With an alacrity beyond the common
impulse of a spirit which yet was never indifferent to the credit of
doing every thing well and attentively, with the real good-will of a
mind delighted with its own ideas, did she then do all the honours of
the meal, and help and recommend the minced chicken and scalloped
oysters, with an urgency which she knew would be acceptable to the
early hours and civil scruples of their guests.

Upon such occasions poor Mr. Woodhouse’s feelings were in sad warfare.
He loved to have the cloth laid, because it had been the fashion of his
youth, but his conviction of suppers being very unwholesome made him
rather sorry to see any thing put on it; and while his hospitality
would have welcomed his visitors to every thing, his care for their
health made him grieve that they would eat.

Such another small basin of thin gruel as his own was all that he
could, with thorough self-approbation, recommend; though he might
constrain himself, while the ladies were comfortably clearing the nicer
things, to say:

“Mrs. Bates, let me propose your venturing on one of these eggs. An egg
boiled very soft is not unwholesome. Serle understands boiling an egg
better than any body. I would not recommend an egg boiled by any body
else; but you need not be afraid, they are very small, you see—one of
our small eggs will not hurt you. Miss Bates, let Emma help you to a
_little_ bit of tart—a _very_ little bit. Ours are all apple-tarts. You
need not be afraid of unwholesome preserves here. I do not advise the
custard. Mrs. Goddard, what say you to _half_ a glass of wine? A
_small_ half-glass, put into a tumbler of water? I do not think it
could disagree with you.”

Emma allowed her father to talk—but supplied her visitors in a much
more satisfactory style, and on the present evening had particular
pleasure in sending them away happy. The happiness of Miss Smith was
quite equal to her intentions. Miss Woodhouse was so great a personage
in Highbury, that the prospect of the introduction had given as much
panic as pleasure; but the humble, grateful little girl went off with
highly gratified feelings, delighted with the affability with which
Miss Woodhouse had treated her all the evening, and actually shaken
hands with her at last!


CHAPTER IV


Harriet Smith’s intimacy at Hartfield was soon a settled thing. Quick
and decided in her ways, Emma lost no time in inviting, encouraging,
and telling her to come very often; and as their acquaintance
increased, so did their satisfaction in each other. As a walking
companion, Emma had very early foreseen how useful she might find her.
In that respect Mrs. Weston’s loss had been important. Her father never
went beyond the shrubbery, where two divisions of the ground sufficed
him for his long walk, or his short, as the year varied; and since Mrs."
AUSTEN_EMMA_002,original,AUSTEN_AUTHOR1_WORK2_0016,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,2,2,16,10944,11506,562,41,9,60274,63314,28,49.822,218.861,12.456,14.235,7.117,13.707,0.02439,deterministic_even_spread_30_per_work_after_quality_filters,"The list she drew up
when only fourteen—I remember thinking it did her judgment so much
credit, that I preserved it some time; and I dare say she may have made
out a very good list now. But I have done with expecting any course of
steady reading from Emma. She will never submit to any thing requiring
industry and patience, and a subjection of the fancy to the
understanding. Where Miss Taylor failed to stimulate, I may safely
affirm that Harriet Smith will do nothing.—You never could persuade her
to read half so much as you wished.—You know you could not.”

“I dare say,” replied Mrs. Weston, smiling, “that I thought so
_then_;—but since we have parted, I can never remember Emma’s omitting
to do any thing I wished.”

“There is hardly any desiring to refresh such a memory as _that_,”—said
Mr. Knightley, feelingly; and for a moment or two he had done. “But I,”
he soon added, “who have had no such charm thrown over my senses, must
still see, hear, and remember. Emma is spoiled by being the cleverest
of her family. At ten years old, she had the misfortune of being able
to answer questions which puzzled her sister at seventeen. She was
always quick and assured: Isabella slow and diffident. And ever since
she was twelve, Emma has been mistress of the house and of you all. In
her mother she lost the only person able to cope with her. She inherits
her mother’s talents, and must have been under subjection to her.”

“I should have been sorry, Mr. Knightley, to be dependent on _your_
recommendation, had I quitted Mr. Woodhouse’s family and wanted another
situation; I do not think you would have spoken a good word for me to
any body. I am sure you always thought me unfit for the office I held.”

“Yes,” said he, smiling. “You are better placed _here_; very fit for a
wife, but not at all for a governess. But you were preparing yourself
to be an excellent wife all the time you were at Hartfield. You might
not give Emma such a complete education as your powers would seem to
promise; but you were receiving a very good education from _her_, on
the very material matrimonial point of submitting your own will, and
doing as you were bid; and if Weston had asked me to recommend him a
wife, I should certainly have named Miss Taylor.”

“Thank you. There will be very little merit in making a good wife to
such a man as Mr. Weston.”

“Why, to own the truth, I am afraid you are rather thrown away, and
that with every disposition to bear, there will be nothing to be borne.
We will not despair, however. Weston may grow cross from the wantonness
of comfort, or his son may plague him.”

“I hope not _that_.—It is not likely. No, Mr. Knightley, do not
foretell vexation from that quarter.”

“Not I, indeed. I only name possibilities. I do not pretend to Emma’s
genius for foretelling and guessing. I hope, with all my heart, the
young man may be a Weston in merit, and a Churchill in fortune.—But
Harriet Smith—I have not half done about Harriet Smith. I think her the
very worst sort of companion that Emma could possibly have."
AUSTEN_EMMA_003,original,AUSTEN_AUTHOR1_WORK2_0023,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,3,3,23,15994,16549,555,38,13,87748,90672,31,55.856,239.64,10.811,23.423,9.009,14.605,0.078947,deterministic_even_spread_30_per_work_after_quality_filters,"You need
not be prompted to write with the appearance of sorrow for his
disappointment.”

“You think I ought to refuse him then,” said Harriet, looking down.

“Ought to refuse him! My dear Harriet, what do you mean? Are you in any
doubt as to that? I thought—but I beg your pardon, perhaps I have been
under a mistake. I certainly have been misunderstanding you, if you
feel in doubt as to the _purport_ of your answer. I had imagined you
were consulting me only as to the wording of it.”

Harriet was silent. With a little reserve of manner, Emma continued:

“You mean to return a favourable answer, I collect.”

“No, I do not; that is, I do not mean—What shall I do? What would you
advise me to do? Pray, dear Miss Woodhouse, tell me what I ought to
do.”

“I shall not give you any advice, Harriet. I will have nothing to do
with it. This is a point which you must settle with your feelings.”

“I had no notion that he liked me so very much,” said Harriet,
contemplating the letter. For a little while Emma persevered in her
silence; but beginning to apprehend the bewitching flattery of that
letter might be too powerful, she thought it best to say,

“I lay it down as a general rule, Harriet, that if a woman _doubts_ as
to whether she should accept a man or not, she certainly ought to
refuse him. If she can hesitate as to ‘Yes,’ she ought to say ‘No’
directly. It is not a state to be safely entered into with doubtful
feelings, with half a heart. I thought it my duty as a friend, and
older than yourself, to say thus much to you. But do not imagine that I
want to influence you.”

“Oh! no, I am sure you are a great deal too kind to—but if you would
just advise me what I had best do—No, no, I do not mean that—As you
say, one’s mind ought to be quite made up—One should not be
hesitating—It is a very serious thing.—It will be safer to say ‘No,’
perhaps.—Do you think I had better say ‘No?’”

“Not for the world,” said Emma, smiling graciously, “would I advise you
either way. You must be the best judge of your own happiness. If you
prefer Mr. Martin to every other person; if you think him the most
agreeable man you have ever been in company with, why should you
hesitate? You blush, Harriet.—Does any body else occur to you at this
moment under such a definition? Harriet, Harriet, do not deceive
yourself; do not be run away with by gratitude and compassion. At this
moment whom are you thinking of?”

The symptoms were favourable.—Instead of answering, Harriet turned away
confused, and stood thoughtfully by the fire; and though the letter was
still in her hand, it was now mechanically twisted about without
regard. Emma waited the result with impatience, but not without strong
hopes. At last, with some hesitation, Harriet said—

“Miss Woodhouse, as you will not give me your opinion, I must do as
well as I can by myself; and I have now quite determined, and really
almost made up my mind—to refuse Mr."
AUSTEN_EMMA_004,original,AUSTEN_AUTHOR1_WORK2_0029,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,4,4,29,20308,20868,560,27,5,111074,114126,14,25.0,185.714,14.286,7.143,5.357,20.741,0.111111,deterministic_even_spread_30_per_work_after_quality_filters,"And is she, at seventeen, just
entering into life, just beginning to be known, to be wondered at
because she does not accept the first offer she receives? No—pray let
her have time to look about her.”

“I have always thought it a very foolish intimacy,” said Mr. Knightley
presently, “though I have kept my thoughts to myself; but I now
perceive that it will be a very unfortunate one for Harriet. You will
puff her up with such ideas of her own beauty, and of what she has a
claim to, that, in a little while, nobody within her reach will be good
enough for her. Vanity working on a weak head, produces every sort of
mischief. Nothing so easy as for a young lady to raise her expectations
too high. Miss Harriet Smith may not find offers of marriage flow in so
fast, though she is a very pretty girl. Men of sense, whatever you may
chuse to say, do not want silly wives. Men of family would not be very
fond of connecting themselves with a girl of such obscurity—and most
prudent men would be afraid of the inconvenience and disgrace they
might be involved in, when the mystery of her parentage came to be
revealed. Let her marry Robert Martin, and she is safe, respectable,
and happy for ever; but if you encourage her to expect to marry
greatly, and teach her to be satisfied with nothing less than a man of
consequence and large fortune, she may be a parlour-boarder at Mrs.
Goddard’s all the rest of her life—or, at least, (for Harriet Smith is
a girl who will marry somebody or other,) till she grow desperate, and
is glad to catch at the old writing-master’s son.”

“We think so very differently on this point, Mr. Knightley, that there
can be no use in canvassing it. We shall only be making each other more
angry. But as to my _letting_ her marry Robert Martin, it is
impossible; she has refused him, and so decidedly, I think, as must
prevent any second application. She must abide by the evil of having
refused him, whatever it may be; and as to the refusal itself, I will
not pretend to say that I might not influence her a little; but I
assure you there was very little for me or for any body to do. His
appearance is so much against him, and his manner so bad, that if she
ever were disposed to favour him, she is not now. I can imagine, that
before she had seen any body superior, she might tolerate him. He was
the brother of her friends, and he took pains to please her; and
altogether, having seen nobody better (that must have been his great
assistant) she might not, while she was at Abbey-Mill, find him
disagreeable. But the case is altered now. She knows now what gentlemen
are; and nothing but a gentleman in education and manner has any chance
with Harriet.”

“Nonsense, errant nonsense, as ever was talked!” cried Mr.
Knightley.—“Robert Martin’s manners have sense, sincerity, and
good-humour to recommend them; and his mind has more true gentility
than Harriet Smith could understand.”

Emma made no answer, and tried to look cheerfully unconcerned, but was
really feeling uncomfortable and wanting him very much to be gone."
AUSTEN_EMMA_005,original,AUSTEN_AUTHOR1_WORK2_0037,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,5,5,37,26109,26672,563,31,11,142445,145471,25,44.405,197.158,23.091,12.433,8.881,18.161,0.032258,deterministic_even_spread_30_per_work_after_quality_filters,"And he is a very clever boy, indeed. They
are all remarkably clever; and they have so many pretty ways. They will
come and stand by my chair, and say, ‘Grandpapa, can you give me a bit
of string?’ and once Henry asked me for a knife, but I told him knives
were only made for grandpapas. I think their father is too rough with
them very often.”

“He appears rough to you,” said Emma, “because you are so very gentle
yourself; but if you could compare him with other papas, you would not
think him rough. He wishes his boys to be active and hardy; and if they
misbehave, can give them a sharp word now and then; but he is an
affectionate father—certainly Mr. John Knightley is an affectionate
father. The children are all fond of him.”

“And then their uncle comes in, and tosses them up to the ceiling in a
very frightful way!”

“But they like it, papa; there is nothing they like so much. It is such
enjoyment to them, that if their uncle did not lay down the rule of
their taking turns, whichever began would never give way to the other.”

“Well, I cannot understand it.”

“That is the case with us all, papa. One half of the world cannot
understand the pleasures of the other.”

Later in the morning, and just as the girls were going to separate in
preparation for the regular four o’clock dinner, the hero of this
inimitable charade walked in again. Harriet turned away; but Emma could
receive him with the usual smile, and her quick eye soon discerned in
his the consciousness of having made a push—of having thrown a die; and
she imagined he was come to see how it might turn up. His ostensible
reason, however, was to ask whether Mr. Woodhouse’s party could be made
up in the evening without him, or whether he should be in the smallest
degree necessary at Hartfield. If he were, every thing else must give
way; but otherwise his friend Cole had been saying so much about his
dining with him—had made such a point of it, that he had promised him
conditionally to come.

Emma thanked him, but could not allow of his disappointing his friend
on their account; her father was sure of his rubber. He re-urged—she
re-declined; and he seemed then about to make his bow, when taking the
paper from the table, she returned it—

“Oh! here is the charade you were so obliging as to leave with us;
thank you for the sight of it. We admired it so much, that I have
ventured to write it into Miss Smith’s collection. Your friend will not
take it amiss I hope. Of course I have not transcribed beyond the first
eight lines.”

Mr. Elton certainly did not very well know what to say. He looked
rather doubtingly—rather confused; said something about
“honour,”—glanced at Emma and at Harriet, and then seeing the book open
on the table, took it up, and examined it very attentively. With the
view of passing off an awkward moment, Emma smilingly said,

“You must make my apologies to your friend; but so good a charade must
not be confined to one or two. He may be sure of every woman’s
approbation while he writes with such gallantry.”"
AUSTEN_EMMA_006,original,AUSTEN_AUTHOR1_WORK2_0043,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,6,6,43,30511,31074,563,45,10,166716,169747,29,51.51,245.115,5.329,19.538,5.329,12.511,0.044444,deterministic_even_spread_30_per_work_after_quality_filters,"Papa is only speaking his own regret.”

“Very much to the honour of both,” was the handsome reply.

“And do you see her, sir, tolerably often?” asked Isabella in the
plaintive tone which just suited her father.

Mr. Woodhouse hesitated.—“Not near so often, my dear, as I could wish.”

“Oh! papa, we have missed seeing them but one entire day since they
married. Either in the morning or evening of every day, excepting one,
have we seen either Mr. Weston or Mrs. Weston, and generally both,
either at Randalls or here—and as you may suppose, Isabella, most
frequently here. They are very, very kind in their visits. Mr. Weston
is really as kind as herself. Papa, if you speak in that melancholy
way, you will be giving Isabella a false idea of us all. Every body
must be aware that Miss Taylor must be missed, but every body ought
also to be assured that Mr. and Mrs. Weston do really prevent our
missing her by any means to the extent we ourselves anticipated—which
is the exact truth.”

“Just as it should be,” said Mr. John Knightley, “and just as I hoped
it was from your letters. Her wish of shewing you attention could not
be doubted, and his being a disengaged and social man makes it all
easy. I have been always telling you, my love, that I had no idea of
the change being so very material to Hartfield as you apprehended; and
now you have Emma’s account, I hope you will be satisfied.”

“Why, to be sure,” said Mr. Woodhouse—“yes, certainly—I cannot deny
that Mrs. Weston, poor Mrs. Weston, does come and see us pretty
often—but then—she is always obliged to go away again.”

“It would be very hard upon Mr. Weston if she did not, papa.—You quite
forget poor Mr. Weston.”

“I think, indeed,” said John Knightley pleasantly, “that Mr. Weston has
some little claim. You and I, Emma, will venture to take the part of
the poor husband. I, being a husband, and you not being a wife, the
claims of the man may very likely strike us with equal force. As for
Isabella, she has been married long enough to see the convenience of
putting all the Mr. Westons aside as much as she can.”

“Me, my love,” cried his wife, hearing and understanding only in part.—
“Are you talking about me?—I am sure nobody ought to be, or can be, a
greater advocate for matrimony than I am; and if it had not been for
the misery of her leaving Hartfield, I should never have thought of
Miss Taylor but as the most fortunate woman in the world; and as to
slighting Mr. Weston, that excellent Mr. Weston, I think there is
nothing he does not deserve. I believe he is one of the very
best-tempered men that ever existed. Excepting yourself and your
brother, I do not know his equal for temper. I shall never forget his
flying Henry’s kite for him that very windy day last Easter—and ever
since his particular kindness last September twelvemonth in writing
that note, at twelve o’clock at night, on purpose to assure me that
there was no scarlet fever at Cobham, I have been convinced there could
not be a more feeling heart nor a better man in existence."
AUSTEN_EMMA_007,original,AUSTEN_AUTHOR1_WORK2_0050,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,7,7,50,35814,36367,553,38,12,195479,198503,31,56.058,240.506,18.083,16.275,7.233,14.553,0.078947,deterministic_even_spread_30_per_work_after_quality_filters,"“You do quite right,” said she;—“we will make your apologies to Mr. and
Mrs. Weston.”

But hardly had she so spoken, when she found her brother was civilly
offering a seat in his carriage, if the weather were Mr. Elton’s only
objection, and Mr. Elton actually accepting the offer with much prompt
satisfaction. It was a done thing; Mr. Elton was to go, and never had
his broad handsome face expressed more pleasure than at this moment;
never had his smile been stronger, nor his eyes more exulting than when
he next looked at her.

“Well,” said she to herself, “this is most strange!—After I had got him
off so well, to chuse to go into company, and leave Harriet ill
behind!—Most strange indeed!—But there is, I believe, in many men,
especially single men, such an inclination—such a passion for dining
out—a dinner engagement is so high in the class of their pleasures,
their employments, their dignities, almost their duties, that any thing
gives way to it—and this must be the case with Mr. Elton; a most
valuable, amiable, pleasing young man undoubtedly, and very much in
love with Harriet; but still, he cannot refuse an invitation, he must
dine out wherever he is asked. What a strange thing love is! he can see
ready wit in Harriet, but will not dine alone for her.”

Soon afterwards Mr. Elton quitted them, and she could not but do him
the justice of feeling that there was a great deal of sentiment in his
manner of naming Harriet at parting; in the tone of his voice while
assuring her that he should call at Mrs. Goddard’s for news of her fair
friend, the last thing before he prepared for the happiness of meeting
her again, when he hoped to be able to give a better report; and he
sighed and smiled himself off in a way that left the balance of
approbation much in his favour.

After a few minutes of entire silence between them, John Knightley
began with—

“I never in my life saw a man more intent on being agreeable than Mr.
Elton. It is downright labour to him where ladies are concerned. With
men he can be rational and unaffected, but when he has ladies to
please, every feature works.”

“Mr. Elton’s manners are not perfect,” replied Emma; “but where there
is a wish to please, one ought to overlook, and one does overlook a
great deal. Where a man does his best with only moderate powers, he
will have the advantage over negligent superiority. There is such
perfect good-temper and good-will in Mr. Elton as one cannot but
value.”

“Yes,” said Mr. John Knightley presently, with some slyness, “he seems
to have a great deal of good-will towards you.”

“Me!” she replied with a smile of astonishment, “are you imagining me
to be Mr. Elton’s object?”

“Such an imagination has crossed me, I own, Emma; and if it never
occurred to you before, you may as well take it into consideration
now.”

“Mr. Elton in love with me!—What an idea!”

“I do not say it is so; but you will do well to consider whether it is
so or not, and to regulate your behaviour accordingly. I think your
manners to him encouraging."
AUSTEN_EMMA_008,original,AUSTEN_AUTHOR1_WORK2_0058,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,8,8,58,41657,42231,574,26,10,227455,230578,12,20.906,162.021,17.422,10.453,3.484,22.077,0.153846,deterministic_even_spread_30_per_work_after_quality_filters,"He had gone beyond the sweep—some way along the Highbury
road—the snow was nowhere above half an inch deep—in many places hardly
enough to whiten the ground; a very few flakes were falling at present,
but the clouds were parting, and there was every appearance of its
being soon over. He had seen the coachmen, and they both agreed with
him in there being nothing to apprehend.

To Isabella, the relief of such tidings was very great, and they were
scarcely less acceptable to Emma on her father’s account, who was
immediately set as much at ease on the subject as his nervous
constitution allowed; but the alarm that had been raised could not be
appeased so as to admit of any comfort for him while he continued at
Randalls. He was satisfied of there being no present danger in
returning home, but no assurances could convince him that it was safe
to stay; and while the others were variously urging and recommending,
Mr. Knightley and Emma settled it in a few brief sentences: thus—

“Your father will not be easy; why do not you go?”

“I am ready, if the others are.”

“Shall I ring the bell?”

“Yes, do.”

And the bell was rung, and the carriages spoken for. A few minutes
more, and Emma hoped to see one troublesome companion deposited in his
own house, to get sober and cool, and the other recover his temper and
happiness when this visit of hardship were over.

The carriage came: and Mr. Woodhouse, always the first object on such
occasions, was carefully attended to his own by Mr. Knightley and Mr.
Weston; but not all that either could say could prevent some renewal of
alarm at the sight of the snow which had actually fallen, and the
discovery of a much darker night than he had been prepared for. “He was
afraid they should have a very bad drive. He was afraid poor Isabella
would not like it. And there would be poor Emma in the carriage behind.
He did not know what they had best do. They must keep as much together
as they could;” and James was talked to, and given a charge to go very
slow and wait for the other carriage.

Isabella stept in after her father; John Knightley, forgetting that he
did not belong to their party, stept in after his wife very naturally;
so that Emma found, on being escorted and followed into the second
carriage by Mr. Elton, that the door was to be lawfully shut on them,
and that they were to have a tête-à-tête drive. It would not have been
the awkwardness of a moment, it would have been rather a pleasure,
previous to the suspicions of this very day; she could have talked to
him of Harriet, and the three-quarters of a mile would have seemed but
one. But now, she would rather it had not happened. She believed he had
been drinking too much of Mr. Weston’s good wine, and felt sure that he
would want to be talking nonsense.

To restrain him as much as might be, by her own manners, she was
immediately preparing to speak with exquisite calmness and gravity of
the weather and the night; but scarcely had she begun, scarcely had
they passed the sweep-gate and joined the other carriage, than she
found her subject cut up—her hand seized—her attention demanded, and
Mr."
AUSTEN_EMMA_009,original,AUSTEN_AUTHOR1_WORK2_0067,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,9,9,67,48275,48837,562,36,9,264429,267524,27,48.043,206.406,23.132,3.559,8.897,15.611,0.027778,deterministic_even_spread_30_per_work_after_quality_filters,"As he became rational, he
ought to have roused himself and shaken off all that was unworthy in
their authority. He ought to have opposed the first attempt on their
side to make him slight his father. Had he begun as he ought, there
would have been no difficulty now.”

“We shall never agree about him,” cried Emma; “but that is nothing
extraordinary. I have not the least idea of his being a weak young man:
I feel sure that he is not. Mr. Weston would not be blind to folly,
though in his own son; but he is very likely to have a more yielding,
complying, mild disposition than would suit your notions of man’s
perfection. I dare say he has; and though it may cut him off from some
advantages, it will secure him many others.”

“Yes; all the advantages of sitting still when he ought to move, and of
leading a life of mere idle pleasure, and fancying himself extremely
expert in finding excuses for it. He can sit down and write a fine
flourishing letter, full of professions and falsehoods, and persuade
himself that he has hit upon the very best method in the world of
preserving peace at home and preventing his father’s having any right
to complain. His letters disgust me.”

“Your feelings are singular. They seem to satisfy every body else.”

“I suspect they do not satisfy Mrs. Weston. They hardly can satisfy a
woman of her good sense and quick feelings: standing in a mother’s
place, but without a mother’s affection to blind her. It is on her
account that attention to Randalls is doubly due, and she must doubly
feel the omission. Had she been a person of consequence herself, he
would have come I dare say; and it would not have signified whether he
did or no. Can you think your friend behindhand in these sort of
considerations? Do you suppose she does not often say all this to
herself? No, Emma, your amiable young man can be amiable only in
French, not in English. He may be very ‘amiable,’ have very good
manners, and be very agreeable; but he can have no English delicacy
towards the feelings of other people: nothing really amiable about
him.”

“You seem determined to think ill of him.”

“Me!—not at all,” replied Mr. Knightley, rather displeased; “I do not
want to think ill of him. I should be as ready to acknowledge his
merits as any other man; but I hear of none, except what are merely
personal; that he is well-grown and good-looking, with smooth,
plausible manners.”

“Well, if he have nothing else to recommend him, he will be a treasure
at Highbury. We do not often look upon fine young men, well-bred and
agreeable. We must not be nice and ask for all the virtues into the
bargain. Cannot you imagine, Mr. Knightley, what a _sensation_ his
coming will produce? There will be but one subject throughout the
parishes of Donwell and Highbury; but one interest—one object of
curiosity; it will be all Mr. Frank Churchill; we shall think and speak
of nobody else.”

“You will excuse my being so much over-powered. If I find him
conversable, I shall be glad of his acquaintance; but if he is only a
chattering coxcomb, he will not occupy much of my time or thoughts.”"
AUSTEN_EMMA_010,original,AUSTEN_AUTHOR1_WORK2_0074,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,10,10,74,53428,53986,558,18,3,292485,295639,3,5.376,184.588,23.297,21.505,1.792,31.0,0.333333,deterministic_even_spread_30_per_work_after_quality_filters,"Emma was sorry;—to have to pay civilities to a person she did not like
through three long months!—to be always doing more than she wished, and
less than she ought! Why she did not like Jane Fairfax might be a
difficult question to answer; Mr. Knightley had once told her it was
because she saw in her the really accomplished young woman, which she
wanted to be thought herself; and though the accusation had been
eagerly refuted at the time, there were moments of self-examination in
which her conscience could not quite acquit her. But “she could never
get acquainted with her: she did not know how it was, but there was
such coldness and reserve—such apparent indifference whether she
pleased or not—and then, her aunt was such an eternal talker!—and she
was made such a fuss with by every body!—and it had been always
imagined that they were to be so intimate—because their ages were the
same, every body had supposed they must be so fond of each other.”
These were her reasons—she had no better.

It was a dislike so little just—every imputed fault was so magnified by
fancy, that she never saw Jane Fairfax the first time after any
considerable absence, without feeling that she had injured her; and
now, when the due visit was paid, on her arrival, after a two years’
interval, she was particularly struck with the very appearance and
manners, which for those two whole years she had been depreciating.
Jane Fairfax was very elegant, remarkably elegant; and she had herself
the highest value for elegance. Her height was pretty, just such as
almost every body would think tall, and nobody could think very tall;
her figure particularly graceful; her size a most becoming medium,
between fat and thin, though a slight appearance of ill-health seemed
to point out the likeliest evil of the two. Emma could not but feel all
this; and then, her face—her features—there was more beauty in them
altogether than she had remembered; it was not regular, but it was very
pleasing beauty. Her eyes, a deep grey, with dark eye-lashes and
eyebrows, had never been denied their praise; but the skin, which she
had been used to cavil at, as wanting colour, had a clearness and
delicacy which really needed no fuller bloom. It was a style of beauty,
of which elegance was the reigning character, and as such, she must, in
honour, by all her principles, admire it:—elegance, which, whether of
person or of mind, she saw so little in Highbury. There, not to be
vulgar, was distinction, and merit.

In short, she sat, during the first visit, looking at Jane Fairfax with
twofold complacency; the sense of pleasure and the sense of rendering
justice, and was determining that she would dislike her no longer. When
she took in her history, indeed, her situation, as well as her beauty;
when she considered what all this elegance was destined to, what she
was going to sink from, how she was going to live, it seemed impossible
to feel any thing but compassion and respect; especially, if to every
well-known particular entitling her to interest, were added the highly
probable circumstance of an attachment to Mr. Dixon, which she had so
naturally started to herself."
