model,split,condition,actual_author,predicted_author,count
nearest_centroid,validation,original,austen,austen,7
nearest_centroid,validation,original,austen,dickens,0
nearest_centroid,validation,original,austen,poe,0
nearest_centroid,validation,original,austen,shelley,1
nearest_centroid,validation,original,austen,twain,0
nearest_centroid,validation,original,austen,wilde,1
nearest_centroid,validation,original,dickens,austen,1
nearest_centroid,validation,original,dickens,dickens,8
nearest_centroid,validation,original,dickens,poe,0
nearest_centroid,validation,original,dickens,shelley,0
nearest_centroid,validation,original,dickens,twain,0
nearest_centroid,validation,original,dickens,wilde,0
nearest_centroid,validation,original,poe,austen,0
nearest_centroid,validation,original,poe,dickens,0
nearest_centroid,validation,original,poe,poe,7
nearest_centroid,validation,original,poe,shelley,2
nearest_centroid,validation,original,poe,twain,0
nearest_centroid,validation,original,poe,wilde,0
nearest_centroid,validation,original,shelley,austen,0
nearest_centroid,validation,original,shelley,dickens,0
nearest_centroid,validation,original,shelley,poe,1
nearest_centroid,validation,original,shelley,shelley,8
nearest_centroid,validation,original,shelley,twain,0
nearest_centroid,validation,original,shelley,wilde,0
nearest_centroid,validation,original,twain,austen,1
nearest_centroid,validation,original,twain,dickens,1
nearest_centroid,validation,original,twain,poe,2
nearest_centroid,validation,original,twain,shelley,0
nearest_centroid,validation,original,twain,twain,2
nearest_centroid,validation,original,twain,wilde,3
nearest_centroid,validation,original,wilde,austen,0
nearest_centroid,validation,original,wilde,dickens,3
nearest_centroid,validation,original,wilde,poe,0
nearest_centroid,validation,original,wilde,shelley,1
nearest_centroid,validation,original,wilde,twain,2
nearest_centroid,validation,original,wilde,wilde,3
nearest_centroid,validation,paraphrase,austen,austen,5
nearest_centroid,validation,paraphrase,austen,dickens,0
nearest_centroid,validation,paraphrase,austen,poe,0
nearest_centroid,validation,paraphrase,austen,shelley,4
nearest_centroid,validation,paraphrase,austen,twain,0
nearest_centroid,validation,paraphrase,austen,wilde,0
nearest_centroid,validation,paraphrase,dickens,austen,0
nearest_centroid,validation,paraphrase,dickens,dickens,2
nearest_centroid,validation,paraphrase,dickens,poe,0
nearest_centroid,validation,paraphrase,dickens,shelley,1
nearest_centroid,validation,paraphrase,dickens,twain,0
nearest_centroid,validation,paraphrase,dickens,wilde,6
nearest_centroid,validation,paraphrase,poe,austen,0
nearest_centroid,validation,paraphrase,poe,dickens,0
nearest_centroid,validation,paraphrase,poe,poe,4
nearest_centroid,validation,paraphrase,poe,shelley,5
nearest_centroid,validation,paraphrase,poe,twain,0
nearest_centroid,validation,paraphrase,poe,wilde,0
nearest_centroid,validation,paraphrase,shelley,austen,0
nearest_centroid,validation,paraphrase,shelley,dickens,0
nearest_centroid,validation,paraphrase,shelley,poe,1
nearest_centroid,validation,paraphrase,shelley,shelley,8
nearest_centroid,validation,paraphrase,shelley,twain,0
nearest_centroid,validation,paraphrase,shelley,wilde,0
nearest_centroid,validation,paraphrase,twain,austen,1
nearest_centroid,validation,paraphrase,twain,dickens,2
nearest_centroid,validation,paraphrase,twain,poe,2
