request_id,batch_label,global_request_index,batch_request_index,passage_id,condition,rewritten_text,model_provider,model_name,model_version_or_snapshot,temperature,top_p,seed_if_available,prompt_template_id,prompt_template_sha256,source_text_sha256,rewritten_text_sha256,original_word_count,rewritten_word_count,length_ratio,rewritten_sentence_count,qc_status,qc_flags,created_utc,parse_status
AUSTEN_EMMA_001__paraphrase,batch_A,0,0,AUSTEN_EMMA_001,paraphrase,"She was so occupied with admiring those gentle blue eyes, engaging in conversation, and constructing these various plans in the intervals, that the night passed with unusual speed; the supper-table, which invariably concluded such gatherings and for which she was accustomed to monitor the proper hour, was fully arranged and positioned near the hearth before she realized it. With a promptness exceeding the usual motivation of a spirit that was nonetheless never unconcerned with the reputation of performing tasks skillfully and considerately, and with the genuine enthusiasm of a mind pleased by its own concepts, she proceeded to preside over the meal, offering and suggesting the minced chicken and scalloped oysters with a persistence she understood would be welcomed by the early habits and polite hesitations of their visitors.

During such events, poor Mr. Woodhouse’s sentiments were in a state of painful conflict. He enjoyed having the table set, as it had been the custom of his younger days, yet his belief that suppers were highly unhealthy made him somewhat regretful to see anything placed upon it; while his sense of hospitality would have invited his guests to partake of everything, his concern for their well-being caused him to lament that they would consume it.

Only another small bowl of light gruel like his own was something he could, with complete personal approval, suggest; although he might force himself, while the ladies were contentedly finishing the more appetizing dishes, to remark:

“Mrs. Bates, allow me to suggest you try one of these eggs. An egg boiled quite soft is not unhealthy. Serle understands how to boil an egg better than anyone. I would not suggest an egg boiled by anyone else; but you need not worry, they are quite small, you see—one of our small eggs will not harm you. Miss Bates, let Emma serve you a little bit of tart—a very little bit. Ours are all apple-tarts. You need not fear unhealthy preserves here. I do not suggest the custard. Mrs. Goddard, what do you think of half a glass of wine? A small half-glass, mixed into a tumbler of water? I do not believe it could disagree with you.”

Emma permitted her father to speak—but provided for her guests in a far more pleasing manner, and on this particular evening took special delight in ensuring they departed content. The joy of Miss Smith was entirely consistent with her expectations. Miss Woodhouse was such a significant figure in Highbury that the anticipation of the meeting had caused as much anxiety as excitement; yet the modest, appreciative young woman left with deeply satisfied feelings, thrilled by the kindness with which Miss Woodhouse had interacted with her throughout the evening, and having actually shaken hands with her at the conclusion!


CHAPTER IV


Harriet Smith’s friendship at Hartfield quickly became an established fact. Prompt and resolute in her methods, Emma wasted no time in inviting, urging, and instructing her to visit frequently; and as their friendship deepened, so did their mutual contentment. As a companion for walking, Emma had recognized quite early how beneficial she might prove. In that regard, the absence of Mrs. Weston had been significant. Her father never ventured past the shrubbery, where two sections of the grounds were enough for his long stroll, or his short one, depending on the season; and since Mrs.",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,paraphrase_rewrite_prompts_v0.1.0,eb6b27652007789b19f682cb1781f572938c13f1fd92532580e0ebba1cc8eb63,e4c95d2824dba9a41b5db0df191b429c579f3553c4a2c8336931b03c0ebc16a6,3b1e5c05f3af72b47bffe09224adf34f9ac04893fadce6d1b7b81611aeb02e33,569,559,0.982425,27,pass,,2026-05-29T10:25:07.548685+00:00,json_ok
AUSTEN_EMMA_001__modernize,batch_A,1,1,AUSTEN_EMMA_001,modernize,"She was so occupied with admiring those soft blue eyes, chatting, listening, and plotting in the intervals, that the evening passed with unusual speed. The supper table, which always signaled the end of such gatherings and for which she usually watched the clock, was already set, moved toward the fire, and ready before she realized it. With an eagerness beyond her typical desire to be a perfect hostess, and fueled by the genuine excitement of her own plans, she performed her duties, serving and recommending the minced chicken and scalloped oysters with an insistence she knew would suit the modest appetites and polite hesitations of her guests.

On such nights, poor Mr. Woodhouse’s emotions were in conflict. He loved having the table set, as it had been the custom of his youth, but his belief that suppers were unhealthy made him regret seeing food placed upon it. While his hospitality wanted to offer his visitors everything, his concern for their well-being made him sad to see them eat.

Only a small bowl of thin gruel like his own was something he could recommend with a clear conscience, though he might force himself to say, while the ladies enjoyed the better dishes:

“Mrs. Bates, may I suggest you try one of these eggs? A soft-boiled egg is not unhealthy. Serle knows how to boil an egg better than anyone. I wouldn’t recommend an egg boiled by anyone else, but you needn't worry; they are very small, you see—one of our small eggs won't hurt you. Miss Bates, let Emma give you a little bit of tart—a very little bit. Ours are all apple tarts. You needn't fear unhealthy preserves here. I don’t advise the custard. Mrs. Goddard, what do you say to half a glass of wine? A small half-glass, mixed into a tumbler of water? I don’t think it could disagree with you.”

Emma let her father talk, but she served her guests in a much more satisfying way, and tonight she took particular pleasure in ensuring they left happy. Miss Smith’s happiness matched Emma’s intentions. Miss Woodhouse was such a prominent figure in Highbury that the prospect of the introduction had caused as much anxiety as excitement; but the humble, grateful girl left feeling highly gratified, delighted by the friendliness Miss Woodhouse had shown her all evening, and thrilled that she had actually shaken her hand at the end!

CHAPTER IV

Harriet Smith’s friendship at Hartfield quickly became a regular occurrence. Decisive in her actions, Emma lost no time in inviting, encouraging, and telling her to visit often; as their acquaintance grew, so did their mutual satisfaction. Emma had realized early on how useful she would be as a walking companion. In that regard, the loss of Mrs. Weston had been significant. Her father never went beyond the shrubbery, where two sections of the grounds sufficed for his walks, long or short, depending on the season; and since Mrs.",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,modernize_rewrite_prompts_v0.1.0,1bf0164e6707e33a9e79e2c3c98f27407c0d7cfafd312ce687f23bb80fd5f867,e4c95d2824dba9a41b5db0df191b429c579f3553c4a2c8336931b03c0ebc16a6,971c15368945e7edd4fd11b43531a5f0ab2fa05c590cc0aa0f70b6a72872a0fe,569,492,0.864675,29,pass,,2026-05-29T10:25:10.435337+00:00,json_ok
AUSTEN_EMMA_001__simplify,batch_A,2,2,AUSTEN_EMMA_001,simplify,"She was so busy admiring those soft blue eyes, talking, listening, and forming plans in the gaps of conversation, that the evening passed by unusually quickly. The supper table, which always marked the end of such gatherings and for which she usually watched the clock, was already set, prepared, and moved toward the fire before she realized it. With an eagerness beyond her usual spirit—though she was never indifferent to the importance of being a good hostess—and with the genuine pleasure of a mind delighted by its own ideas, she performed the duties of the meal. She served and recommended the minced chicken and scalloped oysters with an urgency she knew would be appreciated by the guests, who were mindful of the late hour and their own polite hesitations.

On such occasions, poor Mr. Woodhouse’s feelings were in conflict. He liked to have the table set because it had been the custom of his youth, but his belief that suppers were unhealthy made him sorry to see food placed upon it. While his hospitality made him want to offer his visitors everything, his concern for their health made him regret that they would actually eat.

A small bowl of thin gruel, like his own, was all he could recommend with a clear conscience. However, he would occasionally force himself to speak while the ladies were enjoying the better food: 

“Mrs. Bates, let me suggest you try one of these eggs. An egg boiled very soft is not unhealthy. Serle understands how to boil an egg better than anyone. I would not recommend an egg boiled by anyone else, but you need not be afraid; they are very small, you see—one of our small eggs will not hurt you. Miss Bates, let Emma give you a little bit of tart—a very little bit. Ours are all apple tarts. You need not worry about unhealthy preserves here. I do not advise the custard. Mrs. Goddard, what do you say to half a glass of wine? A small half-glass, mixed into a tumbler of water? I do not think it could disagree with you.”

Emma let her father talk, but she served her visitors in a much more satisfying way, and on this evening, she took particular pleasure in sending them home happy. Miss Smith’s happiness matched Emma’s intentions. Miss Woodhouse was such an important person in Highbury that the prospect of meeting her had caused as much anxiety as excitement. However, the humble, grateful girl left feeling highly satisfied, delighted by the friendliness Miss Woodhouse had shown her all evening, and thrilled that she had actually shaken hands with her at the end.

CHAPTER IV

Harriet Smith’s friendship at Hartfield soon became a regular occurrence. Quick and decisive in her actions, Emma lost no time in inviting, encouraging, and telling her to visit often. As their acquaintance grew, so did their enjoyment of each other. Emma had realized early on how useful Harriet would be as a walking companion. In that regard, the loss of Mrs. Weston had been significant. Her father never went beyond the shrubbery, where two sections of the grounds were enough for his long or short walks, depending on the season; and since Mrs.",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,simplify_rewrite_prompts_v0.1.0,7e0f3c94d39f6abcb13a77f701170ed88d65fb976d7629f01382688aa714c9a3,e4c95d2824dba9a41b5db0df191b429c579f3553c4a2c8336931b03c0ebc16a6,454a649fce9b7488beb82c9c22148d4682236599bed4b119a91b68e8aebc14bf,569,540,0.949033,33,pass,,2026-05-29T10:25:13.998839+00:00,json_ok
AUSTEN_EMMA_002__paraphrase,batch_A,3,3,AUSTEN_EMMA_002,paraphrase,"The inventory she compiled when merely fourteen—I recall believing it reflected so well upon her discernment that I kept it for a while; and I suspect she might have produced a quite respectable list at present. Yet, I have ceased anticipating any consistent reading habits from Emma. She will never yield to anything demanding diligence, perseverance, and the subordination of imagination to intellect. Where Miss Taylor failed to encourage her, I can confidently assert that Harriet Smith will accomplish nothing.—You were never able to convince her to read even half as much as you desired.—You are aware you could not.”

“I suspect,” Mrs. Weston answered with a smile, “that I believed so then;—but since we have separated, I cannot recall Emma ever neglecting to perform anything I requested.”

“One hardly wishes to improve upon a memory such as that,” Mr. Knightley remarked with emotion; and for a brief interval, he remained silent. “But I,” he presently continued, “having experienced no such enchantment cast upon my perceptions, must continue to observe, listen, and recollect. Emma is ruined by being the most intelligent of her household. By age ten, she possessed the unfortunate ability to resolve inquiries that baffled her sister at seventeen. She was consistently rapid and confident: Isabella, sluggish and hesitant. And from the time she was twelve, Emma has acted as mistress of the residence and of you all. In her mother, she lost the sole individual capable of managing her. She possesses her mother’s gifts and must have been under her authority.”

“I would have been distressed, Mr. Knightley, to rely upon your endorsement, had I departed Mr. Woodhouse’s household and required another position; I do not believe you would have offered a favorable recommendation for me to anyone. I am certain you always considered me unsuitable for the role I occupied.”

“Indeed,” he replied, smiling. “You are better situated here; highly qualified to be a wife, but entirely unsuited for a governess. Yet you were training yourself to be a superb wife throughout your tenure at Hartfield. You may not have provided Emma with the comprehensive education your abilities seemed to suggest; however, you were acquiring a very sound education from her regarding the essential marital duty of yielding your own desires and obeying instructions; and had Weston requested that I suggest a wife for him, I certainly would have proposed Miss Taylor.”

“I thank you. There will be very little virtue in being a good wife to a man such as Mr. Weston.”

“Well, to be candid, I fear you are somewhat wasted, and that despite every inclination to endure, there will be nothing requiring endurance. We shall not lose hope, however. Weston might become irritable from an excess of ease, or his son might annoy him.”

“I trust not that.—It is improbable. No, Mr. Knightley, do not predict trouble from that direction.”

“Certainly not I. I merely mention possibilities. I do not claim Emma’s talent for predicting and speculating. I hope, with all my spirit, the young man may possess a Weston’s character and a Churchill’s wealth.—But Harriet Smith—I have not nearly finished regarding Harriet Smith. I consider her the absolute worst variety of associate that Emma could possibly select.”",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,paraphrase_rewrite_prompts_v0.1.0,eb6b27652007789b19f682cb1781f572938c13f1fd92532580e0ebba1cc8eb63,0a68282ae8074b9732a14796b9f3619b68daba8d95c9b7e0a7dd7417bd5bc10f,8be852bc42d8f484d2821beb3c7901ad0120d2527c3d8a5af910216f1a6a4b12,562,542,0.964413,41,pass,,2026-05-29T10:25:18.219548+00:00,json_ok
AUSTEN_EMMA_002__modernize,batch_A,4,4,AUSTEN_EMMA_002,modernize,"The list she created when she was only fourteen—I remember thinking it showed such good judgment that I kept it for a while; and I imagine she could put together a very good list now. But I have given up expecting any consistent reading habits from Emma. She will never commit to anything that requires hard work, patience, and the discipline of logic over imagination. If Miss Taylor failed to motivate her, I can safely say that Harriet Smith will accomplish nothing. You could never convince her to read half as much as you wanted. You know that is true.

“I imagine,” Mrs. Weston replied with a smile, “that I thought so then; but since we have parted, I cannot recall a single time Emma failed to do anything I asked.”

“It is hard to argue with a memory like that,” Mr. Knightley said with feeling, and for a moment or two he fell silent. “But I,” he soon added, “who have not been under such a spell, must still see, hear, and remember. Emma is spoiled because she is the smartest in her family. At ten years old, she had the misfortune of being able to answer questions that baffled her sister at seventeen. She was always quick and confident; Isabella was slow and shy. Ever since she was twelve, Emma has been the mistress of the house and of all of you. In her mother, she lost the only person capable of managing her. She inherited her mother’s talents and must have been kept in check by her.”

“I would have been sorry, Mr. Knightley, to rely on your recommendation if I had left Mr. Woodhouse’s family and needed another position; I do not think you would have put in a good word for me to anyone. I am sure you always thought I was unfit for the job I held.”

“Yes,” he said, smiling. “You are better placed here; very well-suited to be a wife, but not at all for a governess. But you were preparing yourself to be an excellent wife the entire time you were at Hartfield. You might not have given Emma the complete education your abilities seemed to promise, but you were receiving a very good education from her on the essential marital skill of yielding your own will and doing as you were told; and if Weston had asked me to recommend him a wife, I certainly would have named Miss Taylor.”

“Thank you. There will be very little challenge in being a good wife to a man like Mr. Weston.”

“Well, to be honest, I am afraid you are a bit wasted, and that despite your willingness to endure, there will be nothing to endure. We will not lose hope, however. Weston might become irritable from sheer comfort, or his son might annoy him.”

“I hope not that. It is not likely. No, Mr. Knightley, do not predict trouble from that direction.”

“Not I, indeed. I am only mentioning possibilities. I do not claim to have Emma’s talent for predicting and guessing. I hope, with all my heart, the young man may be a Weston in character and a Churchill in wealth. But Harriet Smith—I am not half finished talking about Harriet Smith. I think she is the absolute worst kind of companion Emma could possibly have.”",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,modernize_rewrite_prompts_v0.1.0,1bf0164e6707e33a9e79e2c3c98f27407c0d7cfafd312ce687f23bb80fd5f867,0a68282ae8074b9732a14796b9f3619b68daba8d95c9b7e0a7dd7417bd5bc10f,1b3e8b1a049b8501394ee38b19ccfede4e5e04808c542e92cfab8ac39bee1340,562,558,0.992883,41,pass,,2026-05-29T10:25:21.094063+00:00,json_ok
AUSTEN_EMMA_002__simplify,batch_A,5,5,AUSTEN_EMMA_002,simplify,"I remember the reading list she made when she was only fourteen. It showed such good judgment that I kept it for a while, and I am sure she could create a very good list now. However, I have stopped expecting Emma to follow any consistent reading plan. She will never commit to anything that requires hard work, patience, or the discipline to let logic control her imagination. If Miss Taylor could not motivate her, I can safely say that Harriet Smith will not succeed either. You could never persuade her to read half as much as you wanted, and you know that is true.

“I suppose,” Mrs. Weston replied with a smile, “that I thought so back then. But since we have been apart, I cannot remember a single time Emma failed to do something I asked of her.”

“It is hard to argue with a memory like that,” Mr. Knightley said with feeling, and he paused for a moment. “But I,” he soon added, “who have not been charmed in that way, must still see, hear, and remember things as they are. Emma has been spoiled by being the smartest person in her family. At ten years old, she had the misfortune of being able to answer questions that baffled her sister at seventeen. She was always quick and confident, while Isabella was slow and shy. Ever since she was twelve, Emma has been in charge of the house and all of you. When her mother died, she lost the only person who could handle her. She inherited her mother’s talents, and she would have been under her mother’s control.”

“Mr. Knightley, I would have been sorry to rely on your recommendation if I had left Mr. Woodhouse’s family and needed a new job. I do not think you would have said a good word about me to anyone. I am sure you always thought I was unfit for the position I held.”

“Yes,” he said, smiling. “You are better placed here; you are very well-suited to be a wife, but not at all for a governess. Yet, all the time you were at Hartfield, you were preparing yourself to be an excellent wife. You might not have given Emma the complete education your abilities seemed to promise, but you were receiving a very good education from her regarding the important matrimonial skill of setting aside your own will and doing as you were told. If Mr. Weston had asked me to recommend a wife, I certainly would have named Miss Taylor.”

“Thank you. There will be very little challenge in being a good wife to a man like Mr. Weston.”

“To tell the truth, I am afraid you are a bit wasted, and that despite your willingness to endure difficulties, there will be nothing to endure. We will not lose hope, however. Mr. Weston might become grumpy from having too much comfort, or his son might annoy him.”

“I hope not. That is not likely. No, Mr. Knightley, do not predict trouble from that direction.”

“I certainly will not. I am only mentioning possibilities. I do not claim to have Emma’s talent for predicting and guessing. I hope, with all my heart, that the young man has the character of a Weston and the fortune of a Churchill. But Harriet Smith—I have not finished talking about her. I think she is the absolute worst kind of companion Emma could possibly have.”",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,simplify_rewrite_prompts_v0.1.0,7e0f3c94d39f6abcb13a77f701170ed88d65fb976d7629f01382688aa714c9a3,0a68282ae8074b9732a14796b9f3619b68daba8d95c9b7e0a7dd7417bd5bc10f,1fefd131e62e2b50f0a8731c018b70fd5f3f07d2296587b82c457b7bfb0c5ed6,562,575,1.023132,46,pass,,2026-05-29T10:25:25.948523+00:00,json_ok
AUSTEN_EMMA_003__paraphrase,batch_A,6,6,AUSTEN_EMMA_003,paraphrase,"You do not require any encouragement to compose a response that conveys regret for his misfortune.”

“You believe I should reject him, then,” Harriet remarked, casting her eyes downward.

“Should reject him! My dear Harriet, what are you implying? Are you truly uncertain about that? I assumed—but I apologize, perhaps I have been mistaken. I have certainly misinterpreted your position if you are questioning the intent of your reply. I had supposed you were merely seeking my guidance on how to phrase it.”

Harriet remained quiet. With a slight air of detachment, Emma persisted:

“I gather you intend to provide an affirmative response.”

“No, I do not; that is, I do not mean—What should I do? What would you suggest? Please, dear Miss Woodhouse, tell me what I ought to do.”

“I will offer you no counsel, Harriet. I refuse to be involved. This is a matter you must resolve according to your own emotions.”

“I had no idea he was so fond of me,” Harriet noted, studying the letter. For a brief period, Emma maintained her silence; however, fearing the seductive flattery of that note might prove too persuasive, she decided it was necessary to speak:

“I maintain it as a fundamental principle, Harriet, that if a woman questions whether she should accept a suitor, she ought to decline him. If she can waver regarding a ‘Yes,’ she should respond with a ‘No’ immediately. It is not a commitment to be undertaken with reservations or a divided heart. I felt it my obligation as a friend, and as your senior, to share this with you. But do not think I wish to sway your decision.”

“Oh! no, I am certain you are far too generous to—but if you would only suggest what is best—No, no, I do not mean that—As you say, one’s mind should be entirely settled—One should not be indecisive—It is a grave matter.—It might be safer to say ‘No,’ perhaps.—Do you think I should say ‘No?’”

“Not for anything,” Emma replied with a pleasant smile, “would I advise you one way or the other. You must be the ultimate judge of your own contentment. If you favor Mr. Martin above all others; if you consider him the most charming man you have ever encountered, why should you hesitate? You are blushing, Harriet.—Does anyone else come to mind when you consider that description? Harriet, Harriet, do not mislead yourself; do not let gratitude and pity carry you away. Of whom are you thinking right now?”

The signs were promising.—Instead of replying, Harriet turned aside in confusion and stood pensive by the hearth; and although she still held the letter, she twisted it absentmindedly without notice. Emma awaited the outcome with eagerness, yet not without significant optimism. Finally, with some reluctance, Harriet stated—

“Miss Woodhouse, since you will not provide your perspective, I must manage as best I can on my own; and I have now fully decided, and truly almost resolved—to refuse Mr. Martin.”",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,paraphrase_rewrite_prompts_v0.1.0,eb6b27652007789b19f682cb1781f572938c13f1fd92532580e0ebba1cc8eb63,7b09549d883d3f1ad8a5c3a41367996c90b6d8b6e34a9ca16c0969e8fee33e03,9b97bc5fd80405e2b70854b2114179b15769e1e5c927b9ba99a0392ad22360f7,555,509,0.917117,39,pass,,2026-05-29T10:25:29.237479+00:00,json_ok
AUSTEN_EMMA_003__modernize,batch_A,7,7,AUSTEN_EMMA_003,modernize,"{
  ""passage_id"": ""AUSTEN_EMMA_003"",
  ""condition"": ""modernize"",
  ""rewritten_text"": ""You don't need to be prompted to write with the appearance of sorrow for his disappointment.”\n\n“You think I ought to refuse him then,” said Harriet, looking down.\n\n“Ought to refuse him! My dear Harriet, what do you mean? Are you in any doubt about that? I thought—but I beg your pardon, perhaps I have been mistaken. I have certainly misunderstood you if you feel uncertain about the intent of your answer. I had imagined you were only consulting me on how to phrase it.”\n\nHarriet was silent. With a slightly reserved manner, Emma continued:\n\n“I gather you intend to give him a favorable answer.”\n\n“No, I do not; that is, I do not mean—What shall I do? What would you advise me to do? Please, dear Miss Woodhouse, tell me what I ought to do.”\n\n“I will not give you any advice, Harriet. I will have nothing to do with it. This is a matter you must settle with your own feelings.”\n\n“I had no idea he liked me so very much,” said Harriet, contemplating the letter. For a little while Emma remained silent, but fearing the seductive flattery of that letter might be too powerful, she thought it best to say,\n\n“I consider it a general rule, Harriet, that if a woman doubts whether she should accept a man or not, she certainly ought to refuse him. If she can hesitate about saying ‘yes,’ she ought to say ‘no’ immediately. It is not a situation to be entered into safely with doubtful feelings or half a heart. I thought it my duty as a friend, and as someone older than you, to say this much. But do not imagine that I want to influence you.”\n\n“Oh! no, I am sure you are much too kind to—but if you would just advise me what I had best do—No, no, I do not mean that—As you say, one’s mind ought to be quite made up—One should not be hesitating—It is a very serious thing.—It will be safer to say ‘no,’ perhaps.—Do you think I had better say ‘no?’”\n\n“Not for the world,” said Emma, smiling graciously, “would I advise you either way. You must be the best judge of your own happiness. If you prefer Mr. Martin to every other person; if you think him the most agreeable man you have ever been with, why should you hesitate? You are blushing, Harriet.—Does anyone else come to mind at this moment under that description? Harriet, Harriet, do not deceive yourself; do not be carried away by gratitude and compassion. At this moment, who are you thinking of?”\n\nThe signs were promising. Instead of answering, Harriet turned away, confused, and stood thoughtfully by the fire. Although the letter was still in her hand, she was now twisting it absentmindedly. Emma waited for the result with impatience, but not without strong hopes. At last, with some hesitation, Harriet said—\n\n“Miss Woodhouse, since you will not give me your opinion, I must do as well as I can by myself; and I have now quite determined, and really almost made up my mind—to refuse Mr. Martin.”",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,modernize_rewrite_prompts_v0.1.0,1bf0164e6707e33a9e79e2c3c98f27407c0d7cfafd312ce687f23bb80fd5f867,7b09549d883d3f1ad8a5c3a41367996c90b6d8b6e34a9ca16c0969e8fee33e03,25f0dd009e8e02480006b0c08f6612376b73f056e7922a4e5ccf6fa04a175bdf,555,560,1.009009,40,pass,,2026-05-29T10:25:32.200584+00:00,json_parse_failed_used_raw_content
AUSTEN_EMMA_003__simplify,batch_A,8,8,AUSTEN_EMMA_003,simplify,"“You do not need to be told to write as if you are sorry for his disappointment.”

“You think I ought to refuse him, then?” Harriet asked, looking down.

“Ought to refuse him! My dear Harriet, what do you mean? Are you in any doubt about that? I thought—but I beg your pardon, perhaps I have been mistaken. I have certainly misunderstood you if you are unsure about the meaning of your answer. I had imagined you were only asking me how to phrase it.”

Harriet was silent. With a slightly reserved manner, Emma continued:

“I gather you intend to give him a favorable answer.”

“No, I do not; that is, I do not mean—What shall I do? What would you advise me to do? Please, dear Miss Woodhouse, tell me what I ought to do.”

“I will not give you any advice, Harriet. I will have nothing to do with it. This is a matter you must settle with your own feelings.”

“I had no idea he liked me so very much,” Harriet said, looking at the letter. For a little while, Emma remained silent, but fearing that the flattering nature of the letter might be too powerful, she thought it best to speak.

“I believe it is a general rule, Harriet, that if a woman doubts whether she should accept a man or not, she certainly ought to refuse him. If she can hesitate about saying ‘yes,’ she ought to say ‘no’ immediately. It is not a situation to be entered into with doubtful feelings or half a heart. I thought it my duty as your friend, and as someone older than you, to tell you this. But do not imagine that I want to influence you.”

“Oh! no, I am sure you are much too kind to—but if you would just advise me what I had best do—No, no, I do not mean that—As you say, one’s mind ought to be quite made up—One should not be hesitating—It is a very serious thing. It will be safer to say ‘no,’ perhaps. Do you think I had better say ‘no’?”

“Not for the world,” Emma said, smiling graciously, “would I advise you either way. You must be the best judge of your own happiness. If you prefer Mr. Martin to everyone else; if you think he is the most agreeable man you have ever met, why should you hesitate? You are blushing, Harriet. Does anyone else come to mind when you think of that? Harriet, Harriet, do not deceive yourself; do not be carried away by gratitude and pity. Who are you thinking of right now?”

The signs were promising. Instead of answering, Harriet turned away, confused, and stood thoughtfully by the fire. Although she still held the letter, she was now twisting it absentmindedly. Emma waited for the result with impatience, but with strong hope. At last, with some hesitation, Harriet said:

“Miss Woodhouse, since you will not give me your opinion, I must do the best I can by myself; and I have now quite decided, and have almost made up my mind—to refuse Mr. Martin.”",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,simplify_rewrite_prompts_v0.1.0,7e0f3c94d39f6abcb13a77f701170ed88d65fb976d7629f01382688aa714c9a3,7b09549d883d3f1ad8a5c3a41367996c90b6d8b6e34a9ca16c0969e8fee33e03,5e1c5e42d57713862323d28c401a97c6a48cb00e93a3cecc03456a67e87ad0d0,555,528,0.951351,42,pass,,2026-05-29T10:25:35.540472+00:00,json_ok
AUSTEN_EMMA_004__paraphrase,batch_A,9,9,AUSTEN_EMMA_004,paraphrase,"Is she, at seventeen, just stepping into the world, only starting to be noticed, to be questioned because she does not accept the initial proposal she gets? No—please allow her the opportunity to observe her surroundings.”

“I have consistently considered it a highly unwise friendship,” Mr. Knightley remarked after a moment, “even though I have held my opinions to myself; yet I now see that it will prove a very regrettable one for Harriet. You will inflate her with such notions of her own attractiveness, and of what she deserves, that, before long, no one in her circle will be sufficient for her. Vanity acting upon a fragile mind creates all manner of trouble. It is quite simple for a young woman to elevate her standards too far. Miss Harriet Smith might not see marriage proposals arrive so readily, even though she is a very lovely girl. Sensible men, regardless of what you might choose to claim, do not desire foolish wives. Men of status would not be eager to link themselves to a girl of such unknown origins—and most cautious men would fear the trouble and shame they might face when the secret of her birth is eventually disclosed. Let her wed Robert Martin, and she is secure, esteemed, and content for life; but if you urge her to anticipate a grand marriage, and instruct her to be content with nothing less than a man of importance and wealth, she might remain a boarder at Mrs. Goddard’s for the remainder of her days—or, at least, (for Harriet Smith is a girl who will eventually marry someone,) until she becomes desperate, and is happy to settle for the writing-master’s son.”

“We hold such opposing views on this matter, Mr. Knightley, that there is no point in debating it. We will only succeed in making one another more irritated. But regarding my allowing her to marry Robert Martin, it is out of the question; she has rejected him, and so firmly, I believe, as to stop any further attempts. She must accept the consequences of having turned him down, whatever they may be; and as for the rejection itself, I will not claim that I might not have swayed her slightly; but I promise you there was very little for me or anyone else to do. His appearance is so much to his disadvantage, and his behavior so poor, that if she were ever inclined to like him, she is not now. I can suppose that before she had encountered anyone superior, she might have put up with him. He was the brother of her acquaintances, and he worked to please her; and altogether, having met no one better (that must have been his greatest advantage) she might not, while she was at Abbey-Mill, have found him unpleasant. But the situation has changed now. She understands now what gentlemen are; and nothing but a gentleman in upbringing and conduct has any hope with Harriet.”

“Nonsense, absolute nonsense, as ever was spoken!” exclaimed Mr. Knightley.—“Robert Martin’s manners are supported by intelligence, honesty, and good-nature; and his character possesses more genuine refinement than Harriet Smith could grasp.”

Emma offered no reply, and attempted to appear pleasantly indifferent, but was actually feeling uneasy and wishing very much for him to depart.",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,paraphrase_rewrite_prompts_v0.1.0,eb6b27652007789b19f682cb1781f572938c13f1fd92532580e0ebba1cc8eb63,118a28d2cf4a75afda519e7999198213815ab2c511008e4e60cced7793fa46c8,3adc21697bd5a82ba23b0ecdf1e141fcccae8808ebc175341b386a56630a5bef,560,551,0.983929,27,pass,,2026-05-29T10:25:38.971623+00:00,json_ok
