model,split,condition,author_id,precision,recall,f1,support
nearest_centroid,validation,original,austen,0.777778,0.777778,0.777778,9
nearest_centroid,validation,original,dickens,0.666667,0.888889,0.761905,9
nearest_centroid,validation,original,poe,0.7,0.777778,0.736842,9
nearest_centroid,validation,original,shelley,0.666667,0.888889,0.761905,9
nearest_centroid,validation,original,twain,0.5,0.222222,0.307692,9
nearest_centroid,validation,original,wilde,0.428571,0.333333,0.375,9
nearest_centroid,validation,paraphrase,austen,0.833333,0.555556,0.666667,9
nearest_centroid,validation,paraphrase,dickens,0.4,0.222222,0.285714,9
nearest_centroid,validation,paraphrase,poe,0.571429,0.444444,0.5,9
nearest_centroid,validation,paraphrase,shelley,0.421053,0.888889,0.571429,9
nearest_centroid,validation,paraphrase,twain,0.0,0.0,0.0,9
nearest_centroid,validation,paraphrase,wilde,0.411765,0.777778,0.538462,9
nearest_centroid,validation,modernize,austen,0.777778,0.777778,0.777778,9
nearest_centroid,validation,modernize,dickens,0.428571,0.333333,0.375,9
nearest_centroid,validation,modernize,poe,0.571429,0.444444,0.5,9
nearest_centroid,validation,modernize,shelley,0.571429,0.888889,0.695652,9
nearest_centroid,validation,modernize,twain,0.5,0.111111,0.181818,9
nearest_centroid,validation,modernize,wilde,0.333333,0.555556,0.416667,9
nearest_centroid,validation,simplify,austen,0.692308,1.0,0.818182,9
nearest_centroid,validation,simplify,dickens,0.0,0.0,0.0,9
nearest_centroid,validation,simplify,poe,0.25,0.111111,0.153846,9
nearest_centroid,validation,simplify,shelley,0.583333,0.777778,0.666667,9
nearest_centroid,validation,simplify,twain,0.5,0.111111,0.181818,9
nearest_centroid,validation,simplify,wilde,0.3,0.666667,0.413793,9
nearest_centroid,test,original,austen,0.9,1.0,0.947368,9
nearest_centroid,test,original,dickens,0.75,0.666667,0.705882,9
nearest_centroid,test,original,poe,0.666667,0.666667,0.666667,9
nearest_centroid,test,original,shelley,0.727273,0.888889,0.8,9
nearest_centroid,test,original,twain,1.0,0.777778,0.875,9
nearest_centroid,test,original,wilde,0.666667,0.666667,0.666667,9
nearest_centroid,test,paraphrase,austen,0.727273,0.888889,0.8,9
nearest_centroid,test,paraphrase,dickens,0.5,0.222222,0.307692,9
nearest_centroid,test,paraphrase,poe,0.6,0.333333,0.428571,9
nearest_centroid,test,paraphrase,shelley,0.388889,0.777778,0.518519,9
nearest_centroid,test,paraphrase,twain,0.0,0.0,0.0,9
nearest_centroid,test,paraphrase,wilde,0.25,0.444444,0.32,9
nearest_centroid,test,modernize,austen,0.9,1.0,0.947368,9
nearest_centroid,test,modernize,dickens,0.4,0.222222,0.285714,9
nearest_centroid,test,modernize,poe,0.666667,0.444444,0.533333,9
nearest_centroid,test,modernize,shelley,0.538462,0.777778,0.636364,9
nearest_centroid,test,modernize,twain,1.0,0.333333,0.5,9
nearest_centroid,test,modernize,wilde,0.352941,0.666667,0.461538,9
nearest_centroid,test,simplify,austen,0.692308,1.0,0.818182,9
nearest_centroid,test,simplify,dickens,0.666667,0.222222,0.333333,9
nearest_centroid,test,simplify,poe,0.666667,0.444444,0.533333,9
nearest_centroid,test,simplify,shelley,0.333333,0.333333,0.333333,9
nearest_centroid,test,simplify,twain,1.0,0.222222,0.363636,9
nearest_centroid,test,simplify,wilde,0.285714,0.666667,0.4,9
diagonal_gaussian_nb,validation,original,austen,0.888889,0.888889,0.888889,9
diagonal_gaussian_nb,validation,original,dickens,0.5,1.0,0.666667,9
diagonal_gaussian_nb,validation,original,poe,0.875,0.777778,0.823529,9
diagonal_gaussian_nb,validation,original,shelley,0.727273,0.888889,0.8,9
diagonal_gaussian_nb,validation,original,twain,0.75,0.333333,0.461538,9
diagonal_gaussian_nb,validation,original,wilde,0.75,0.333333,0.461538,9
diagonal_gaussian_nb,validation,paraphrase,austen,1.0,0.666667,0.8,9
diagonal_gaussian_nb,validation,paraphrase,dickens,0.25,0.222222,0.235294,9
diagonal_gaussian_nb,validation,paraphrase,poe,0.461538,0.666667,0.545455,9
diagonal_gaussian_nb,validation,paraphrase,shelley,0.444444,0.444444,0.444444,9
diagonal_gaussian_nb,validation,paraphrase,twain,0.0,0.0,0.0,9
diagonal_gaussian_nb,validation,paraphrase,wilde,0.333333,0.666667,0.444444,9
diagonal_gaussian_nb,validation,modernize,austen,0.875,0.777778,0.823529,9
diagonal_gaussian_nb,validation,modernize,dickens,0.333333,0.555556,0.416667,9
diagonal_gaussian_nb,validation,modernize,poe,0.571429,0.444444,0.5,9
diagonal_gaussian_nb,validation,modernize,shelley,0.615385,0.888889,0.727273,9
diagonal_gaussian_nb,validation,modernize,twain,0.666667,0.222222,0.333333,9
diagonal_gaussian_nb,validation,modernize,wilde,0.375,0.333333,0.352941,9
diagonal_gaussian_nb,validation,simplify,austen,0.75,1.0,0.857143,9
diagonal_gaussian_nb,validation,simplify,dickens,0.4,0.444444,0.421053,9
diagonal_gaussian_nb,validation,simplify,poe,0.333333,0.111111,0.166667,9
diagonal_gaussian_nb,validation,simplify,shelley,0.7,0.777778,0.736842,9
diagonal_gaussian_nb,validation,simplify,twain,0.666667,0.222222,0.333333,9
diagonal_gaussian_nb,validation,simplify,wilde,0.4375,0.777778,0.56,9
diagonal_gaussian_nb,test,original,austen,0.9,1.0,0.947368,9
diagonal_gaussian_nb,test,original,dickens,0.666667,0.888889,0.761905,9
diagonal_gaussian_nb,test,original,poe,0.75,0.666667,0.705882,9
diagonal_gaussian_nb,test,original,shelley,0.545455,0.666667,0.6,9
diagonal_gaussian_nb,test,original,twain,0.857143,0.666667,0.75,9
diagonal_gaussian_nb,test,original,wilde,1.0,0.666667,0.8,9
diagonal_gaussian_nb,test,paraphrase,austen,0.7,0.777778,0.736842,9
diagonal_gaussian_nb,test,paraphrase,dickens,0.428571,0.333333,0.375,9
diagonal_gaussian_nb,test,paraphrase,poe,0.555556,0.555556,0.555556,9
diagonal_gaussian_nb,test,paraphrase,shelley,0.416667,0.555556,0.47619,9
diagonal_gaussian_nb,test,paraphrase,twain,0.0,0.0,0.0,9
diagonal_gaussian_nb,test,paraphrase,wilde,0.3125,0.555556,0.4,9
diagonal_gaussian_nb,test,modernize,austen,0.875,0.777778,0.823529,9
diagonal_gaussian_nb,test,modernize,dickens,0.466667,0.777778,0.583333,9
