request_id,batch_label,global_request_index,batch_request_index,passage_id,condition,rewritten_text,model_provider,model_name,model_version_or_snapshot,temperature,top_p,seed_if_available,prompt_template_id,prompt_template_sha256,source_text_sha256,rewritten_text_sha256,original_word_count,rewritten_word_count,length_ratio,rewritten_sentence_count,qc_status,qc_flags,created_utc,parse_status
POE_WORKS_VOLUME_1_001__paraphrase,batch_B,360,0,POE_WORKS_VOLUME_1_001,paraphrase,"When evaluating an author's worth and determining his place among our literary icons, we are entitled to view him from our own perspective and judge him by our own criteria. However, when assessing the strength demonstrated in his creations, we must be guided by his personal intentions, comparing his work against his own ideal to determine what might be missing. We diverge from Mr. Poe regarding the purpose of art. He considers its goal to be the generation of Beauty, and perhaps our disagreement lies solely in how that term is defined. Nevertheless, in our commentary on his literature, we shall utilize his own standard as our compass. The sanctuary of the muse is reachable from every direction, and there is ample space within for everyone who offers tributes or consults the oracle.

In his short stories, Mr. Poe has elected to demonstrate his capabilities primarily within that obscure territory extending from the furthest edges of probability into the strange borders of superstition and fantasy. He blends in a striking fashion two talents rarely seen together: an ability to sway the reader's consciousness through the intangible veils of mystery, and a precision of detail that overlooks not even the smallest object. Both are, in reality, the inevitable outcomes of the primary trait of his intellect, which we have previously mentioned: analysis. This is what sets the artist apart. His mind immediately anticipates the intended result. Having decided to evoke specific feelings in the reader, he ensures all secondary elements contribute directly to the central theme. Even his mystery is, to his own mind, mathematical. For him, X is a known variable throughout. In every scene he depicts, he comprehends the chemical nature of all his pigments. Regardless of how indistinct some of his figures might appear, or how shapeless the shadows, the outline remains as sharp and precise to him as a geometric figure. For this reason, Mr. Poe lacks any affinity for Mysticism. The Mystic resides within the mystery, wrapped in it; it tints all his reflections; it impacts his vision specifically, causing mundane objects to acquire a prismatic fringe. Mr. Poe, conversely, is an external observer. He examines, he dissects, he watches

“with an eye serene,
The very pulse of the machine,”

for that is essentially what it is to him, with gears, cogs, and pistons, all functioning to achieve a particular outcome.

This analytical inclination of his intellect counterbalances his poetic side, and by granting him the endurance to be meticulous, allows him to infuse a remarkable sense of reality into his most fantastical visions. He portrays monomania with great intensity. He enjoys dissecting these mental afflictions, tracing the intricate spread of their roots. In evoking images of terror, too, he finds peculiar success, occasionally conveying through a dark suggestion some profound doubt that serves as the core of all horror. He entrusts the imagination with the duty of completing the scene, a task only it can perform.

“For much imaginary work was there;
Conceit deceitful, so compact, so kind,
That for Achilles’ image stood his spear
Grasped in an armed hand; himself behind
Was left unseen, save to the eye of mind.”",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,paraphrase_rewrite_prompts_v0.1.0,eb6b27652007789b19f682cb1781f572938c13f1fd92532580e0ebba1cc8eb63,20428e7f38323e9a93790cb1520b051b350910d0c0c9ad98851a3775bf1fe231,5eeba7a9eb6207e8fa006d7187b13cc647ea46f10be73a108904a7be89c0d0ac,584,526,0.900685,30,pass,,2026-05-29T11:04:28.862441+00:00,json_ok
POE_WORKS_VOLUME_1_001__modernize,batch_B,361,1,POE_WORKS_VOLUME_1_001,modernize,"When evaluating an author's merit and assigning them a place among our literary icons, we have the right to view them from our own perspective and measure them by our own standards. However, when estimating the power displayed in their work, we must be guided by their own intentions, comparing their creations to their own ideals to see what might be missing. We differ from Mr. Poe in his opinions regarding the purpose of art. He believes that purpose is the creation of Beauty, and perhaps it is only in the definition of that word that we disagree. But in our discussion of his writings, we will use his own standard as our guide. The temple of the god of song is equally accessible from every side, and there is enough room within it for everyone who brings offerings or seeks an oracle.

In his stories, Mr. Poe has chosen to demonstrate his power primarily in that dim region stretching from the outer limits of the probable into the strange borders of superstition and unreality. He combines, in a remarkable way, two faculties rarely found together: the ability to influence a reader's mind through the intangible shadows of mystery, and a precision of detail that overlooks nothing, not even a pin or a button. Both are, in truth, the natural results of the dominant quality of his mind, which we have mentioned before: analysis. This is what distinguishes the artist. His mind immediately reaches toward the intended effect. Having decided to evoke specific emotions in the reader, he ensures all subordinate parts contribute strictly to that central goal. Even his mystery is mathematical to him. To him, X is a known quantity from the start. In any picture he paints, he understands the chemical properties of all his colors. However vague some of his figures may seem, or however formless the shadows, the outline remains as clear and distinct to him as a geometrical diagram. For this reason, Mr. Poe has no sympathy for Mysticism. The Mystic dwells within the mystery, enveloped by it; it colors all their thoughts, affects their vision, and gives the most common objects a rainbow edge. Mr. Poe, on the other hand, is an outside observer. He analyzes, he dissects, he watches

“with an eye serene,
The very pulse of the machine,”

for that is what it practically is to him, with wheels, cogs, and piston-rods, all working to produce a specific result.

This analytical tendency of his mind balances his poetic side, and by giving him the patience to be detailed, it enables him to inject a wonderful sense of reality into his most unreal fantasies. He paints monomania with great power. He loves to dissect these mental cancers and trace all the subtle ramifications of their roots. In evoking images of horror, he also finds strange success, sometimes conveying a terrible doubt through a dark hint, which is the secret of all horror. He leaves the task of finishing the picture to the imagination, a task only it is capable of performing.

“For much imaginary work was there;
Conceit deceitful, so compact, so kind,
That for Achilles’ image stood his spear
Grasped in an armed hand; himself behind
Was left unseen, save to the eye of mind.”",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,modernize_rewrite_prompts_v0.1.0,1bf0164e6707e33a9e79e2c3c98f27407c0d7cfafd312ce687f23bb80fd5f867,20428e7f38323e9a93790cb1520b051b350910d0c0c9ad98851a3775bf1fe231,cf75d560242e52040f8eed4d7840e4a640600f592770f862174ac67959750a49,584,544,0.931507,30,pass,,2026-05-29T11:04:31.775127+00:00,json_ok
POE_WORKS_VOLUME_1_001__simplify,batch_B,362,2,POE_WORKS_VOLUME_1_001,simplify,"When we judge an author's merit and decide where to place him among our literary icons, we have the right to view him from our own perspective and measure him by our own standards. However, when we estimate the power displayed in his work, we must be guided by his own intentions, comparing his results to his own ideals to see what might be missing. We differ from Mr. Poe regarding the purpose of art. He believes its goal is the creation of Beauty, and perhaps we only disagree on the definition of that word. Regardless, in our discussion of his writing, we will use his own standards as our guide. The temple of poetry is accessible from every side, and there is plenty of room for everyone who brings offerings or seeks guidance.

In his stories, Mr. Poe chooses to demonstrate his power primarily in that dim region stretching from the outer limits of the probable into the strange territory of superstition and unreality. He remarkably combines two faculties rarely found together: the ability to influence a reader's mind through the subtle shadows of mystery, and a precision of detail that ignores nothing, not even a pin or a button. Both are natural results of his mind's dominant quality, which we have mentioned before: analysis. This is what distinguishes the artist. His mind immediately looks toward the intended effect. Having decided to evoke specific emotions in the reader, he ensures all smaller parts contribute strictly to that central goal. Even his mystery is mathematical to him. To him, X is always a known quantity. In any picture he paints, he understands the chemical properties of all his colors. No matter how vague his figures may seem or how formless his shadows, the outline is as clear and distinct to him as a geometric diagram. For this reason, Mr. Poe has no sympathy for Mysticism. The Mystic lives within the mystery, surrounded by it; it colors all his thoughts and affects his vision, giving even common objects a rainbow-like edge. Mr. Poe, conversely, is an outside observer. He analyzes, dissects, and watches with a calm eye the very pulse of the machine, for that is what it essentially is to him: a collection of wheels, cogs, and pistons all working to produce a specific result.

This analytical tendency balances his poetic side, and by giving him the patience to be precise, it allows him to inject a wonderful sense of reality into his most unreal fantasies. He depicts monomania with great power. He loves to dissect these mental cancers and trace the subtle branches of their roots. He also has strange success in raising images of horror, sometimes conveying a terrible doubt through a dark hint, which is the secret of all horror. He leaves the task of finishing the picture to the imagination, the only thing capable of doing so. For much imaginary work was there; Conceit deceitful, so compact, so kind, That for Achilles’ image stood his spear Grasped in an armed hand; himself behind Was left unseen, save to the eye of mind.",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,simplify_rewrite_prompts_v0.1.0,7e0f3c94d39f6abcb13a77f701170ed88d65fb976d7629f01382688aa714c9a3,20428e7f38323e9a93790cb1520b051b350910d0c0c9ad98851a3775bf1fe231,72ecf848d1cfe9d531c36293f00335a041e930e50c7d115f4c7b9edfecc1f362,584,516,0.883562,30,pass,,2026-05-29T11:04:34.377929+00:00,json_ok
POE_WORKS_VOLUME_1_002__paraphrase,batch_B,363,3,POE_WORKS_VOLUME_1_002,paraphrase,"“My primary objective is to launch a magazine titled ‘The Stylus,’ yet it would be of no value to me, even once founded, if it remained under a publisher’s authority. Consequently, I intend to create a periodical that is entirely my own in every respect. To achieve this, I must secure a minimum of five hundred subscribers to start; I have nearly two hundred already. I plan, however, to travel South and West to visit my personal and literary associates—former college and West Point companions—to see what I can accomplish. To obtain the funds necessary for the initial phase, I intend to deliver a lecture at the Society Library on Thursday, February 3rd, and to avoid any potential for disagreement, my topic will not be literary in nature. I have selected a wide-ranging subject: ‘The Universe.’

“Having provided you with the facts of the situation, I leave the remainder to your own discretion and kindness. Gratefully, most gratefully,

“Your friend always,
“EDGAR A. POE.”

Brief and incidental as these letters may be, we believe they adequately demonstrate the presence of the very traits often denied to Mr. Poe—humility, a readiness to persist, faith in the friendship of others, and the capacity for sincere and thankful companionship! Such he certainly was when of sound mind. Such he has consistently appeared to us, throughout all our personal experiences with him during a friendship spanning five or six years. Since it is far simpler to trust what we have witnessed and experienced than what we merely hear, we recall him only with admiration and respect; these accounts of him, when he was morally unstable, seem to us like portraits of a man we knew only in health, painted during a time of illness.

Yet there exists another, more poignant, and significantly more compelling proof that there was goodness in Edgar A. Poe. To disclose it, we must risk drawing back the curtain that reverently hides the sorrow and refinement found in poverty; however, we believe it may be justified if it helps to illuminate the poet’s memory, even if there were not a more urgent and immediate purpose it might serve for the closest person affected by his passing.

Our initial awareness of Mr. Poe’s relocation to this city came through a visit from a lady who introduced herself as his wife’s mother. She was seeking work on his behalf, and she justified her request by noting that he was unwell, that her daughter was a chronic invalid, and that their situation forced her to take this task upon herself. The face of this woman, rendered beautiful and saintly by a life clearly devoted to hardship and sorrowful affection, her soft and melancholy voice pressing her request, her long-neglected but naturally and instinctively refined demeanor, and her pleading yet appreciative remarks regarding the merits and talents of her son, revealed immediately the presence of one of those earthly angels that women in adversity can become. It was a difficult destiny she was tending to. Mr. Poe composed with meticulous effort, and in a manner too elevated above the common taste to be adequately compensated.",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,paraphrase_rewrite_prompts_v0.1.0,eb6b27652007789b19f682cb1781f572938c13f1fd92532580e0ebba1cc8eb63,d31010a0393813edbbc1ec0ffb357537e2c97209339203446021fbf6a99e7475,6310e87346dc3eb14c91519a265d5c20b847dcb017819d6e8250818d9cc2243f,556,524,0.942446,24,pass,,2026-05-29T11:04:37.805971+00:00,json_ok
POE_WORKS_VOLUME_1_002__modernize,batch_B,364,4,POE_WORKS_VOLUME_1_002,modernize,"“My main goal is to launch a magazine called ‘The Stylus,’ but it would be useless to me, even once established, if it remained under a publisher’s control. I intend, therefore, to create a journal that is entirely my own in every respect. To achieve this, I need to secure at least five hundred subscribers to start; I already have nearly two hundred. I plan, however, to travel South and West to visit my personal and literary friends—former college and West Point acquaintances—to see what I can accomplish. To fund the initial steps, I plan to lecture at the Society Library on Thursday, February 3rd, and to avoid any potential arguments, my topic will not be literary at all. I have chosen a broad subject: ‘The Universe.’

“Having provided you with the facts of the situation, I leave the rest to your own tact and generosity. Gratefully, most gratefully,

“Your friend always,
“EDGAR A. POE.”

Brief and informal as these letters are, we believe they sufficiently prove the existence of the very qualities often denied to Mr. Poe—humility, a willingness to persevere, faith in the friendship of others, and the capacity for warm, grateful companionship. This is certainly who he was when he was of sound mind. This is the only version of him we have consistently known throughout our five or six years of friendship. Because it is so much easier to believe what we have personally witnessed than what we only hear about, we remember him with nothing but admiration and respect. These descriptions of him during his periods of moral instability seem to us like portraits of a healthy man painted while he was ill.

Yet there is another, more touching, and far more compelling piece of evidence that there was goodness in Edgar A. Poe. To reveal it, we must venture to lift the veil that sacredly covers the grief and refinement of those living in poverty; we believe this may be excused if it helps brighten the poet’s memory, even if there were not a more urgent and immediate service it might provide to the person most affected by his death.

Our first knowledge of Mr. Poe’s move to this city came through a visit from a lady who introduced herself as his wife’s mother. She was looking for work for him, and she justified her errand by mentioning that he was ill, that her daughter was a chronic invalid, and that their circumstances forced her to take this matter into her own hands. The woman’s face, made beautiful and saintly by her evident devotion to a life of hardship and sorrowful tenderness, her gentle and mournful voice as she made her plea, her long-forgotten but habitually refined manners, and her appealing yet appreciative mention of her son-in-law’s talents, immediately revealed the presence of one of those earthly angels that women in adversity can become. It was a harsh fate she was watching over. Mr. Poe wrote with fastidious difficulty, and in a style too elevated above the popular taste to be well compensated.",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,modernize_rewrite_prompts_v0.1.0,1bf0164e6707e33a9e79e2c3c98f27407c0d7cfafd312ce687f23bb80fd5f867,d31010a0393813edbbc1ec0ffb357537e2c97209339203446021fbf6a99e7475,67a188ca39d63f970d78d98a0366aecfe4dec098528faf6515a7acb2c54786f7,556,512,0.920863,25,pass,,2026-05-29T11:04:41.402356+00:00,json_ok
POE_WORKS_VOLUME_1_002__simplify,batch_B,365,5,POE_WORKS_VOLUME_1_002,simplify,"“My main goal is to start a magazine called ‘The Stylus,’ but it would be useless to me, even once established, if it were not entirely independent of a publisher. I intend, therefore, to create a journal that is completely my own in every way. To achieve this, I need a list of at least five hundred subscribers to start; I already have nearly two hundred. I plan to travel South and West to visit my personal and literary friends—old college and West Point acquaintances—to see what I can accomplish. To raise the funds for this first step, I plan to lecture at the Society Library on Thursday, February 3rd. To avoid any potential arguments, my topic will not be literary at all. I have chosen a broad subject: ‘The Universe.’

“Having given you the facts of the situation, I leave the rest to your own tact and generosity. Gratefully, most gratefully,

“Your friend always,
“EDGAR A. POE.”

Brief and informal as these letters are, we believe they sufficiently prove the existence of the very qualities denied to Mr. Poe: humility, a willingness to persevere, belief in the friendship of others, and the capacity for warm and grateful friendship. This is certainly who he was when he was sane. This is the only way he has ever appeared to us throughout the five or six years we have known him personally. It is much easier to believe what we have seen and known than what we only hear about, so we remember him with admiration and respect. These descriptions of him during his times of mental instability seem to us like portraits of a man painted while he was sick, whereas we only knew him in health.

However, there is another, more touching, and much stronger piece of evidence that there was goodness in Edgar A. Poe. To reveal it, we must lift the veil that sacredly covers grief and refinement in poverty. We believe this may be excused if it helps brighten the poet’s memory, even if there were not a more urgent and immediate service it might provide to the person most affected by his death.

Our first knowledge of Mr. Poe’s move to this city came from a visit by a lady who introduced herself as his wife’s mother. She was looking for work for him and explained her errand by mentioning that he was ill, that her daughter was a permanent invalid, and that their circumstances forced her to take this upon herself. Her face, made beautiful and saintly by a life clearly devoted to hardship and sorrowful tenderness, her gentle and mournful voice making its plea, her long-forgotten but habitually refined manners, and her appealing yet appreciative mention of her son-in-law’s talents, immediately revealed the presence of one of those angels on earth that women in adversity can be. It was a difficult fate she was watching over. Mr. Poe wrote with painstaking difficulty, and in a style too far above the popular level to be well paid.",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,simplify_rewrite_prompts_v0.1.0,7e0f3c94d39f6abcb13a77f701170ed88d65fb976d7629f01382688aa714c9a3,d31010a0393813edbbc1ec0ffb357537e2c97209339203446021fbf6a99e7475,4dee119af5ff44bea39eda4b5c628d6d994ff3b4755ab2ab142b1327abd6d05b,556,505,0.908273,27,pass,,2026-05-29T11:04:46.010176+00:00,json_ok
POE_WORKS_VOLUME_1_003__paraphrase,batch_B,366,6,POE_WORKS_VOLUME_1_003,paraphrase,"After roughly four and a half hours, the balloon reached a sufficient state of inflation. I proceeded to fasten the car and stowed my equipment inside, making sure to include the condensing device, a generous amount of water, and a substantial store of provisions like pemmican, which offers high nutritional value in a compact form. I also brought along a cat and two pigeons. With dawn approaching, I decided it was time to leave. I dropped a lit cigar as if by mistake, and while stooping to retrieve it, I secretly lit the slow match that extended slightly from the bottom edge of one of the smaller barrels. The three creditors failed to notice this action; I leaped into the car, severed the lone rope tethering me to the ground, and was gratified to ascend rapidly, easily lifting one hundred and seventy-five pounds of lead ballast with the capacity to carry even more.

However, I had barely reached an altitude of fifty yards when a deafening, chaotic storm of fire, smoke, sulfur, limbs, gravel, burning timber, and molten metal roared upward after me. My heart failed me, and I collapsed into the base of the car, shaking with absolute terror. I realized then that I had severely miscalculated, and the primary effects of the blast were still to come. Within a second, I felt blood surge to my head, followed immediately by a blast I will never forget, which shattered the night and seemed to tear the sky apart. Upon later reflection, I correctly identified the intensity of the explosion as a result of my position directly above the epicenter. At that moment, though, my only thought was survival. The balloon first buckled, then expanded violently, spun with dizzying speed, and finally, swaying like a drunkard, threw me over the edge of the car. I was left hanging at a terrifying height, head down and facing outward, suspended by a thin three-foot cord that had slipped through a gap in the wicker and caught my left foot as I tumbled. It is truly impossible to convey the horror of that moment. I struggled for air, my body racked by a shivering fit like an ague, my eyes feeling as though they were popping from their sockets, and a wave of nausea overcame me until I finally lost consciousness.

I cannot say how long I remained in that state. It must have been quite a while, for when I regained a partial sense of awareness, dawn was breaking, the balloon was at a massive altitude above an endless expanse of ocean, and there was no sign of land anywhere across the vast horizon.",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,paraphrase_rewrite_prompts_v0.1.0,eb6b27652007789b19f682cb1781f572938c13f1fd92532580e0ebba1cc8eb63,c75248e67bdb2908871fcf3a05896a0ef81aba42a7449c24ff95d79c7577d985,786f2ff836c308c7e03a2856b9a28fb4881c4fa4b2e835707b9fe775ec484236,581,442,0.760757,18,warning,length_hard_warning,2026-05-29T11:04:50.728742+00:00,json_ok
POE_WORKS_VOLUME_1_003__modernize,batch_B,367,7,POE_WORKS_VOLUME_1_003,modernize,"In about four and a half hours, I had the balloon sufficiently inflated. I attached the basket, then loaded all my equipment—including the condensing apparatus, plenty of water, and a large supply of provisions like pemmican, which packs a lot of nutrition into a small space. I also secured a pair of pigeons and a cat in the basket. It was nearly dawn, and I decided it was time to leave. Dropping a lit cigar on the ground as if by accident, I used the moment I stooped to pick it up to secretly light the slow match, the end of which, as I mentioned, stuck out slightly from the bottom rim of one of the smaller casks. The three debt collectors didn't notice this maneuver at all. I jumped into the basket, immediately cut the single rope holding me to the ground, and was pleased to find I shot upward with ease, carrying one hundred and seventy-five pounds of lead ballast and capable of carrying just as much again.

However, I had barely reached a height of fifty yards when a dense hurricane of fire, smoke, sulfur, limbs, gravel, burning wood, and blazing metal came roaring and rumbling up after me in a terrifying, chaotic blast. My heart sank, and I collapsed to the bottom of the basket, trembling with pure terror. I realized I had completely overdone it and that the main impact of the shock was still to come. In less than a second, I felt all the blood in my body rush to my head, followed immediately by a concussion I will never forget, which tore through the night and seemed to rip the sky apart. Later, when I had time to reflect, I attributed the extreme violence of the explosion to my position directly above it, right in the path of its greatest force. But at the time, I only thought of surviving. The balloon collapsed, then expanded violently, spun around with terrifying speed, and finally, reeling like a drunkard, threw me with great force over the edge of the basket. I was left dangling at a terrifying height, head down and facing outward, held by a thin, three-foot cord that had accidentally hung through a gap in the wickerwork and in which my left foot had fortunately become tangled as I fell. It is impossible—utterly impossible—to convey the horror of my situation. I gasped for air, a shudder like a feverish chill shook every nerve and muscle in my body, my eyes felt as if they were popping from their sockets, a sickening nausea overwhelmed me, and finally, I passed out.

I cannot say how long I remained in that state. It must have been quite a while, because when I partially regained consciousness, I found day was breaking, the balloon was at a massive altitude over a vast ocean, and there was not a trace of land to be seen anywhere within the limits of the horizon.",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,modernize_rewrite_prompts_v0.1.0,1bf0164e6707e33a9e79e2c3c98f27407c0d7cfafd312ce687f23bb80fd5f867,c75248e67bdb2908871fcf3a05896a0ef81aba42a7449c24ff95d79c7577d985,3a22e70bd3d74d28273996fa6c5282ba32b68a3b575a88fe17165cc4c464aa05,581,497,0.855422,19,pass,,2026-05-29T11:05:02.415010+00:00,json_ok
POE_WORKS_VOLUME_1_003__simplify,batch_B,368,8,POE_WORKS_VOLUME_1_003,simplify,"After about four and a half hours, I found the balloon sufficiently inflated. I attached the basket and loaded my equipment, including the condensing device, plenty of water, and a large supply of food like pemmican, which provides high nutrition in a small package. I also brought along two pigeons and a cat. It was nearly dawn, so I decided it was time to leave. I dropped a lit cigar on the ground as if by accident, and while bending down to pick it up, I secretly lit the slow-burning fuse that stuck out slightly from the bottom of one of the smaller casks. The three debt collectors did not notice this maneuver. I jumped into the basket, cut the single rope holding me to the ground, and was pleased to rise quickly, easily carrying one hundred and seventy-five pounds of lead ballast, with room for much more.

However, I had barely reached a height of fifty yards when a dense hurricane of fire, smoke, sulfur, limbs, gravel, burning wood, and molten metal roared up after me in a terrifying, chaotic blast. My heart sank, and I collapsed to the bottom of the basket, shaking with pure terror. I realized I had overdone the explosion and that the worst effects were still to come. Within a second, I felt all the blood in my body rush to my head, followed by a blast I will never forget that tore through the night and seemed to rip the sky apart. Later, I realized the explosion’s extreme force was due to my position directly above it, in the path of its greatest power. At the time, though, I only thought of survival. The balloon collapsed, then expanded violently, spun around with terrifying speed, and finally reeled like a drunkard, throwing me over the edge of the basket. I was left dangling at a dizzying height, head down and facing outward, held by a thin, three-foot cord that had hung through a gap in the wicker and luckily caught my left foot as I fell. It is impossible to describe the horror of that moment. I gasped for air, my body shook with a violent chill, my eyes felt like they were popping from their sockets, and I was overcome by intense nausea until I finally fainted.

I cannot say how long I remained unconscious. It must have been quite a while, because when I partially regained my senses, the sun was rising. The balloon was at a massive height over a vast ocean, and there was no sign of land anywhere within the wide horizon.",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,simplify_rewrite_prompts_v0.1.0,7e0f3c94d39f6abcb13a77f701170ed88d65fb976d7629f01382688aa714c9a3,c75248e67bdb2908871fcf3a05896a0ef81aba42a7449c24ff95d79c7577d985,bef47bf05d47ad52b3ec8dba40fcbcd93e06ce023c3619218643ad36b096519e,581,433,0.745267,20,warning,length_hard_warning,2026-05-29T11:05:07.584830+00:00,json_ok
POE_WORKS_VOLUME_1_004__paraphrase,batch_B,369,9,POE_WORKS_VOLUME_1_004,paraphrase,"Having embraced this perspective, I felt minimal hesitation. Assuming that my journey would encounter an atmosphere fundamentally identical to that at the earth's surface, I believed that M. Grimm’s highly clever device would easily allow me to compress enough of it for breathing. This would eliminate the primary barrier to a lunar voyage. I had certainly invested significant funds and effort into modifying the equipment for this purpose, and I anticipated its successful use, provided I could finish the trip in a sensible timeframe. This returns me to the question of potential travel speed.

It is a fact that balloons, during the initial phase of their departure from the ground, are known to ascend at a relatively modest speed. Now, the lifting force depends entirely on the gas inside the balloon being lighter than the surrounding air; and, at first glance, it does not seem likely that, as the balloon gains height and enters atmospheric layers of rapidly decreasing density—I mean, it does not seem logical that, during this upward movement, the initial speed would increase. Conversely, I was unaware of any documented flight where a decrease in the actual rate of ascent was noted; although that should have occurred, if only due to gas leaking from poorly made balloons coated with inferior varnish. It appeared, therefore, that the impact of such leakage merely offset the influence of some accelerating force. I concluded that, assuming I encountered the medium I had envisioned, and assuming it proved to be essentially what we call atmospheric air, it would matter little at what level of thinness I found it—that is, regarding my ability to rise—because the gas within the balloon would not only undergo a somewhat similar thinning (which would allow me to release enough to prevent bursting), but, being what it was, would in any case remain lighter than any mixture of nitrogen and oxygen. Meanwhile, the pull of gravity would steadily decrease according to the inverse square of the distance, and thus, with a vastly increasing speed, I would eventually reach those remote regions where the earth's gravitational pull is replaced by that of the moon. Based on these thoughts, I did not deem it necessary to burden myself with more supplies than would suffice for forty days.

There remained, however, another obstacle that caused me some minor anxiety. It has been noted that, during balloon flights to significant heights, in addition to the difficulty of breathing, intense discomfort is felt in the head and body, frequently accompanied by nosebleeds and other distressing symptoms, which become increasingly troublesome as the altitude increases.",google_gemini,gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.2,1.0,20260526,paraphrase_rewrite_prompts_v0.1.0,eb6b27652007789b19f682cb1781f572938c13f1fd92532580e0ebba1cc8eb63,90544b6af590f4a61cbdf830a5f5cc1f560db9c2344da15b516ba3ecb58e0579,b8d8fe76881e4032f633603bed9123ca7433fa0d6796931d4b51778c5646d4b9,553,434,0.78481,15,warning,length_hard_warning,2026-05-29T11:05:10.986074+00:00,json_ok
