source_id,author_id,author_name,work_id,work_title,gutenberg_id,canonical_url,plain_text_url,source_role,main_corpus_status,notes
pg_001_austen,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,1342,https://www.gutenberg.org/ebooks/1342,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,canonical_main,eligible_main,Project Gutenberg plain text canonical source.
pg_002_austen,austen,Jane Austen,emma,Emma,158,https://www.gutenberg.org/ebooks/158,https://www.gutenberg.org/cache/epub/158/pg158.txt,canonical_main,eligible_main,Project Gutenberg plain text canonical source.
pg_003_dickens,dickens,Charles Dickens,great_expectations,Great Expectations,1400,https://www.gutenberg.org/ebooks/1400,https://www.gutenberg.org/cache/epub/1400/pg1400.txt,canonical_main,eligible_main,Project Gutenberg plain text canonical source.
pg_004_dickens,dickens,Charles Dickens,oliver_twist,Oliver Twist,730,https://www.gutenberg.org/ebooks/730,https://www.gutenberg.org/cache/epub/730/pg730.txt,canonical_main,eligible_main,Project Gutenberg plain text canonical source.
pg_005_poe,poe,Edgar Allan Poe,poe_fiction_collection,The Works of Edgar Allan Poe Volume 2,2148,https://www.gutenberg.org/ebooks/2148,https://www.gutenberg.org/cache/epub/2148/pg2148.txt,canonical_main,eligible_main,Project Gutenberg plain text canonical prose source.
pg_006_poe,poe,Edgar Allan Poe,arthur_gordon_pym,The Narrative of Arthur Gordon Pym of Nantucket,51060,https://www.gutenberg.org/ebooks/51060,https://www.gutenberg.org/cache/epub/51060/pg51060.txt,canonical_backup,eligible_backup,Project Gutenberg plain text backup prose source.
pg_007_twain,twain,Mark Twain,huckleberry_finn,Adventures of Huckleberry Finn,76,https://www.gutenberg.org/ebooks/76,https://www.gutenberg.org/cache/epub/76/pg76.txt,canonical_main,eligible_main,Project Gutenberg plain text canonical source.
pg_008_twain,twain,Mark Twain,tom_sawyer,The Adventures of Tom Sawyer,74,https://www.gutenberg.org/ebooks/74,https://www.gutenberg.org/cache/epub/74/pg74.txt,canonical_main,eligible_main,Project Gutenberg plain text canonical source.
pg_009_shelley,shelley,Mary Shelley,frankenstein,Frankenstein; Or The Modern Prometheus,84,https://www.gutenberg.org/ebooks/84,https://www.gutenberg.org/cache/epub/84/pg84.txt,canonical_main,eligible_main,Project Gutenberg plain text canonical source.
pg_010_shelley,shelley,Mary Shelley,the_last_man,The Last Man,18247,https://www.gutenberg.org/ebooks/18247,https://www.gutenberg.org/cache/epub/18247/pg18247.txt,canonical_main,eligible_main,Project Gutenberg plain text canonical source.
pg_011_wilde,wilde,Oscar Wilde,dorian_gray,The Picture of Dorian Gray,174,https://www.gutenberg.org/ebooks/174,https://www.gutenberg.org/cache/epub/174/pg174.txt,canonical_main,eligible_main,Project Gutenberg plain text canonical source.
pg_012_wilde,wilde,Oscar Wilde,lord_arthur_savile,Lord Arthur Savile's Crime and Other Stories,773,https://www.gutenberg.org/ebooks/773,https://www.gutenberg.org/cache/epub/773/pg773.txt,canonical_main,eligible_main,Project Gutenberg plain text canonical source.
